profession,publicprivate,value,income
Farmaceut,private,0.0185004868549,-27999
Farmaceut,private,0.0219084712756,28000-28999
Farmaceut,private,0.0438169425511,29000-29999
Farmaceut,private,0.0569620253165,30000-30999
Farmaceut,private,0.0598831548199,31000-31999
Farmaceut,private,0.0793573515093,32000-32999
Farmaceut,private,0.0793573515093,33000-33999
Farmaceut,private,0.0759493670886,34000-34999
Farmaceut,private,0.0637779941577,35000-35999
Farmaceut,private,0.0550146056475,36000-36999
Farmaceut,private,0.0370009737098,37000-37999
Farmaceut,private,0.0282375851996,38000-38999
Farmaceut,private,0.0292112950341,39000-39999
Farmaceut,private,0.0321324245375,40000-40999
Farmaceut,private,0.02288218111,41000-41999
Farmaceut,private,0.0223953261928,42000-42999
Farmaceut,private,0.024829600779,43000-43999
Farmaceut,private,0.00827653359299,44000-44999
Farmaceut,private,0.0160662122687,45000-45999
Farmaceut,private,0.0185004868549,46000-46999
Farmaceut,private,0.0160662122687,47000-47999
Farmaceut,private,0.0141187925998,48000-48999
Farmaceut,private,0.00973709834469,49000-49999
Farmaceut,private,0.0102239532619,50000-50999
Farmaceut,private,0.0102239532619,51000-51999
Farmaceut,private,0.0116845180136,52000-52999
Farmaceut,private,0.00584225900682,53000-53999
Farmaceut,private,0.00632911392405,54000-54999
Farmaceut,private,0.0107108081792,55000-55999
Farmaceut,private,0.00827653359299,56000-56999
Farmaceut,private,0.00438169425511,57000-57999
Farmaceut,private,0.00584225900682,58000-58999
Farmaceut,private,0.00438169425511,59000-59999
Farmaceut,private,0.00778967867575,60000-60999
Farmaceut,private,0.00243427458617,61000-61999
Farmaceut,private,0.00632911392405,62000-62999
Farmaceut,private,0.00292112950341,63000-63999
Farmaceut,private,0.00194741966894,64000-64999
Farmaceut,private,0.00486854917235,65000-65999
Farmaceut,private,0.00243427458617,66000-66999
Farmaceut,private,0.00438169425511,67000-67999
Farmaceut,private,0.00340798442064,68000-68999
Farmaceut,private,0.00194741966894,69000-69999
Farmaceut,private,0.00243427458617,70000-70999
Farmaceut,private,0.0014605647517,71000-71999
Farmaceut,private,0.00194741966894,72000-72999
Farmaceut,private,0.00243427458617,73000-73999
Farmaceut,private,0.00243427458617,74000-74999
Farmaceut,private,0.00340798442064,75000-75999
Farmaceut,private,0.00243427458617,76000-76999
Farmaceut,private,0.000486854917235,77000-77999
Farmaceut,private,0.0014605647517,78000-78999
Farmaceut,private,0.031158714703,80000-
Farmaceut,private,0.0,79000-79999
