profession,publicprivate,value,income
Farmaceut,public,0.0264900662252,-28999
Farmaceut,public,0.00496688741722,29000-29999
Farmaceut,public,0.0182119205298,30000-30999
Farmaceut,public,0.0248344370861,31000-31999
Farmaceut,public,0.0380794701987,32000-32999
Farmaceut,public,0.0331125827815,33000-33999
Farmaceut,public,0.0579470198675,34000-34999
Farmaceut,public,0.0629139072848,35000-35999
Farmaceut,public,0.0629139072848,36000-36999
Farmaceut,public,0.067880794702,37000-37999
Farmaceut,public,0.0480132450331,38000-38999
Farmaceut,public,0.0480132450331,39000-39999
Farmaceut,public,0.0496688741722,40000-40999
Farmaceut,public,0.044701986755,41000-41999
Farmaceut,public,0.0496688741722,42000-42999
Farmaceut,public,0.0215231788079,43000-43999
Farmaceut,public,0.0496688741722,44000-44999
Farmaceut,public,0.0298013245033,45000-45999
Farmaceut,public,0.0198675496689,46000-46999
Farmaceut,public,0.0480132450331,47000-47999
Farmaceut,public,0.0215231788079,48000-48999
Farmaceut,public,0.0215231788079,49000-49999
Farmaceut,public,0.0248344370861,50000-50999
Farmaceut,public,0.0132450331126,51000-51999
Farmaceut,public,0.00993377483444,52000-52999
Farmaceut,public,0.00993377483444,53000-53999
Farmaceut,public,0.0115894039735,54000-54999
Farmaceut,public,0.0115894039735,55000-55999
Farmaceut,public,0.00331125827815,56000-56999
Farmaceut,public,0.00496688741722,57000-57999
Farmaceut,public,0.00827814569536,58000-58999
Farmaceut,public,0.00662251655629,59000-59999
Farmaceut,public,0.00662251655629,60000-60999
Farmaceut,public,0.00331125827815,61000-61999
Farmaceut,public,0.00165562913907,62000-62999
Farmaceut,public,0.00331125827815,63000-63999
Farmaceut,public,0.0,64000-64999
Farmaceut,public,0.0314569536424,65000-
