profession,publicprivate,value,income
Farmaceuter,private,0.0020618556701,26000-26999
Farmaceuter,private,0.00154639175258,27000-27999
Farmaceuter,private,0.00773195876289,28000-28999
Farmaceuter,private,0.0159793814433,29000-29999
Farmaceuter,private,0.0350515463918,30000-30999
Farmaceuter,private,0.0515463917526,31000-31999
Farmaceuter,private,0.0649484536082,32000-32999
Farmaceuter,private,0.069587628866,33000-33999
Farmaceuter,private,0.0819587628866,34000-34999
Farmaceuter,private,0.0711340206186,35000-35999
Farmaceuter,private,0.0618556701031,36000-36999
Farmaceuter,private,0.0623711340206,37000-37999
Farmaceuter,private,0.0417525773196,38000-38999
Farmaceuter,private,0.0350515463918,39000-39999
Farmaceuter,private,0.0329896907216,40000-40999
Farmaceuter,private,0.029381443299,41000-41999
Farmaceuter,private,0.0257731958763,42000-42999
Farmaceuter,private,0.0216494845361,43000-43999
Farmaceuter,private,0.0226804123711,44000-44999
Farmaceuter,private,0.0211340206186,45000-45999
Farmaceuter,private,0.0185567010309,46000-46999
Farmaceuter,private,0.0144329896907,47000-47999
Farmaceuter,private,0.0180412371134,48000-48999
Farmaceuter,private,0.0113402061856,49000-49999
Farmaceuter,private,0.0103092783505,50000-50999
Farmaceuter,private,0.00670103092784,51000-51999
Farmaceuter,private,0.00567010309278,52000-52999
Farmaceuter,private,0.00824742268041,53000-53999
Farmaceuter,private,0.00515463917526,54000-54999
Farmaceuter,private,0.00515463917526,55000-55999
Farmaceuter,private,0.00412371134021,56000-56999
Farmaceuter,private,0.00876288659794,57000-57999
Farmaceuter,private,0.0020618556701,58000-58999
Farmaceuter,private,0.00876288659794,59000-59999
Farmaceuter,private,0.00773195876289,60000-60999
Farmaceuter,private,0.00773195876289,61000-61999
Farmaceuter,private,0.00773195876289,62000-62999
Farmaceuter,private,0.00567010309278,63000-63999
Farmaceuter,private,0.00463917525773,64000-64999
Farmaceuter,private,0.00463917525773,65000-65999
Farmaceuter,private,0.00412371134021,66000-66999
Farmaceuter,private,0.000515463917526,67000-67999
Farmaceuter,private,0.00103092783505,68000-68999
Farmaceuter,private,0.00360824742268,69000-69999
Farmaceuter,private,0.00412371134021,70000-70999
Farmaceuter,private,0.00103092783505,71000-71999
Farmaceuter,private,0.00257731958763,72000-72999
Farmaceuter,private,0.00257731958763,73000-73999
Farmaceuter,private,0.00412371134021,74000-74999
Farmaceuter,private,0.00154639175258,75000-75999
Farmaceuter,private,0.00567010309278,76000-76999
Farmaceuter,private,0.00463917525773,77000-77999
Farmaceuter,private,0.00309278350515,78000-78999
Farmaceuter,private,0.000515463917526,79000-79999
Farmaceuter,private,0.00360824742268,80000-80999
Farmaceuter,private,0.00154639175258,81000-81999
Farmaceuter,private,0.0020618556701,82000-82999
Farmaceuter,private,0.00309278350515,83000-83999
Farmaceuter,private,0.00103092783505,84000-84999
Farmaceuter,private,0.0278350515464,85000-
