profession,publicprivate,value,income
Farmaceuter,public,0.00106269925611,26000-26999
Farmaceuter,public,0.00212539851222,27000-27999
Farmaceuter,public,0.0127523910733,28000-28999
Farmaceuter,public,0.00212539851222,29000-29999
Farmaceuter,public,0.00531349628055,30000-30999
Farmaceuter,public,0.0159404888417,31000-31999
Farmaceuter,public,0.0201912858661,32000-32999
Farmaceuter,public,0.0276301806589,33000-33999
Farmaceuter,public,0.0531349628055,34000-34999
Farmaceuter,public,0.0552603613177,35000-35999
Farmaceuter,public,0.0531349628055,36000-36999
Farmaceuter,public,0.0626992561105,37000-37999
Farmaceuter,public,0.0371944739639,38000-38999
Farmaceuter,public,0.0616365568544,39000-39999
Farmaceuter,public,0.0488841657811,40000-40999
Farmaceuter,public,0.0446333687566,41000-41999
Farmaceuter,public,0.0552603613177,42000-42999
Farmaceuter,public,0.0403825717322,43000-43999
Farmaceuter,public,0.0371944739639,44000-44999
Farmaceuter,public,0.0488841657811,45000-45999
Farmaceuter,public,0.0414452709883,46000-46999
Farmaceuter,public,0.0414452709883,47000-47999
Farmaceuter,public,0.0223166843783,48000-48999
Farmaceuter,public,0.0308182784272,49000-49999
Farmaceuter,public,0.0403825717322,50000-50999
Farmaceuter,public,0.0116896918172,51000-51999
Farmaceuter,public,0.0255047821467,52000-52999
Farmaceuter,public,0.0148777895855,53000-53999
Farmaceuter,public,0.00425079702444,54000-54999
Farmaceuter,public,0.0116896918172,55000-55999
Farmaceuter,public,0.01912858661,56000-56999
Farmaceuter,public,0.00743889479277,57000-57999
Farmaceuter,public,0.00637619553666,58000-58999
Farmaceuter,public,0.00106269925611,59000-59999
Farmaceuter,public,0.00318809776833,60000-60999
Farmaceuter,public,0.00425079702444,61000-61999
Farmaceuter,public,0.00531349628055,62000-62999
Farmaceuter,public,0.00106269925611,63000-63999
Farmaceuter,public,0.00318809776833,64000-64999
Farmaceuter,public,0.01912858661,65000-
