profession,publicprivate,value,income
Fysioterapeut,public,0.0211327134404,-24999
Fysioterapeut,public,0.0549450549451,25000-25999
Fysioterapeut,public,0.074809805579,26000-26999
Fysioterapeut,public,0.0792476754015,27000-27999
Fysioterapeut,public,0.0773457311919,28000-28999
Fysioterapeut,public,0.0927726120034,29000-29999
Fysioterapeut,public,0.110101437025,30000-30999
Fysioterapeut,public,0.100803043111,31000-31999
Fysioterapeut,public,0.0927726120034,32000-32999
Fysioterapeut,public,0.0697379543533,33000-33999
Fysioterapeut,public,0.0509298393914,34000-34999
Fysioterapeut,public,0.0369822485207,35000-35999
Fysioterapeut,public,0.0262045646661,36000-36999
Fysioterapeut,public,0.0152155536771,37000-37999
Fysioterapeut,public,0.0131022823331,38000-38999
Fysioterapeut,public,0.0137362637363,39000-39999
Fysioterapeut,public,0.0124683009298,40000-40999
Fysioterapeut,public,0.00760777683855,41000-41999
Fysioterapeut,public,0.00803043110735,42000-42999
Fysioterapeut,public,0.0050718512257,43000-43999
Fysioterapeut,public,0.00655114116653,44000-44999
Fysioterapeut,public,0.0304311073542,45000-
