profession,publicprivate,value,income
Fysioterapeut/Sjukgymnast,private,0.00187617260788,-24999
Fysioterapeut/Sjukgymnast,private,0.00375234521576,25000-25999
Fysioterapeut/Sjukgymnast,private,0.0384615384615,26000-26999
Fysioterapeut/Sjukgymnast,private,0.0741088180113,27000-27999
Fysioterapeut/Sjukgymnast,private,0.0797373358349,28000-28999
Fysioterapeut/Sjukgymnast,private,0.0750469043152,29000-29999
Fysioterapeut/Sjukgymnast,private,0.0741088180113,30000-30999
Fysioterapeut/Sjukgymnast,private,0.0741088180113,31000-31999
Fysioterapeut/Sjukgymnast,private,0.0703564727955,32000-32999
Fysioterapeut/Sjukgymnast,private,0.0741088180113,33000-33999
Fysioterapeut/Sjukgymnast,private,0.0675422138837,34000-34999
Fysioterapeut/Sjukgymnast,private,0.0675422138837,35000-35999
Fysioterapeut/Sjukgymnast,private,0.0581613508443,36000-36999
Fysioterapeut/Sjukgymnast,private,0.0506566604128,37000-37999
Fysioterapeut/Sjukgymnast,private,0.0412757973734,38000-38999
Fysioterapeut/Sjukgymnast,private,0.0337711069418,39000-39999
Fysioterapeut/Sjukgymnast,private,0.0356472795497,40000-40999
Fysioterapeut/Sjukgymnast,private,0.0196998123827,41000-41999
Fysioterapeut/Sjukgymnast,private,0.0093808630394,42000-42999
Fysioterapeut/Sjukgymnast,private,0.0093808630394,43000-43999
Fysioterapeut/Sjukgymnast,private,0.0046904315197,44000-44999
Fysioterapeut/Sjukgymnast,private,0.00562851782364,45000-45999
Fysioterapeut/Sjukgymnast,private,0.00562851782364,46000-46999
Fysioterapeut/Sjukgymnast,private,0.00093808630394,47000-47999
Fysioterapeut/Sjukgymnast,private,0.00187617260788,48000-48999
Fysioterapeut/Sjukgymnast,private,0.00093808630394,49000-49999
Fysioterapeut/Sjukgymnast,private,0.0215759849906,50000-
