profession,publicprivate,value,income
Fysioterapeut/Sjukgymnast,public,0.00223435948361,-24999
Fysioterapeut/Sjukgymnast,public,0.00496524329692,25000-25999
Fysioterapeut/Sjukgymnast,public,0.0300397219464,26000-26999
Fysioterapeut/Sjukgymnast,public,0.0392254220457,27000-27999
Fysioterapeut/Sjukgymnast,public,0.0670307845084,28000-28999
Fysioterapeut/Sjukgymnast,public,0.0657894736842,29000-29999
Fysioterapeut/Sjukgymnast,public,0.0831678252234,30000-30999
Fysioterapeut/Sjukgymnast,public,0.0868917576961,31000-31999
Fysioterapeut/Sjukgymnast,public,0.0970705064548,32000-32999
Fysioterapeut/Sjukgymnast,public,0.0988083416087,33000-33999
Fysioterapeut/Sjukgymnast,public,0.0901191658391,34000-34999
Fysioterapeut/Sjukgymnast,public,0.0834160873883,35000-35999
Fysioterapeut/Sjukgymnast,public,0.0618172790467,36000-36999
Fysioterapeut/Sjukgymnast,public,0.0382323733863,37000-37999
Fysioterapeut/Sjukgymnast,public,0.03227408143,38000-38999
Fysioterapeut/Sjukgymnast,public,0.0215988083416,39000-39999
Fysioterapeut/Sjukgymnast,public,0.0183714001986,40000-40999
Fysioterapeut/Sjukgymnast,public,0.0136544190665,41000-41999
Fysioterapeut/Sjukgymnast,public,0.0156405163853,42000-42999
Fysioterapeut/Sjukgymnast,public,0.00670307845084,43000-43999
Fysioterapeut/Sjukgymnast,public,0.00620655412115,44000-44999
Fysioterapeut/Sjukgymnast,public,0.00620655412115,45000-45999
Fysioterapeut/Sjukgymnast,public,0.00471698113208,46000-46999
Fysioterapeut/Sjukgymnast,public,0.00546176762661,47000-47999
Fysioterapeut/Sjukgymnast,public,0.00372393247269,48000-48999
Fysioterapeut/Sjukgymnast,public,0.00248262164846,49000-49999
Fysioterapeut/Sjukgymnast,public,0.0141509433962,50000-
