profession,publicprivate,value,income
Högskoleingenjör,public,0.0232666356445,-27999
Högskoleingenjör,public,0.025127966496,28000-28999
Högskoleingenjör,public,0.0255932992089,29000-29999
Högskoleingenjör,public,0.0316426244765,30000-30999
Högskoleingenjör,public,0.0376919497441,31000-31999
Högskoleingenjör,public,0.0488599348534,32000-32999
Högskoleingenjör,public,0.0572359236854,33000-33999
Högskoleingenjör,public,0.0604932526757,34000-34999
Högskoleingenjör,public,0.0721265704979,35000-35999
Högskoleingenjör,public,0.0586319218241,36000-36999
Högskoleingenjör,public,0.0553745928339,37000-37999
Högskoleingenjör,public,0.0483946021405,38000-38999
Högskoleingenjör,public,0.0525825965565,39000-39999
Högskoleingenjör,public,0.0483946021405,40000-40999
Högskoleingenjör,public,0.0451372731503,41000-41999
Högskoleingenjör,public,0.0297812936249,42000-42999
Högskoleingenjör,public,0.0446719404374,43000-43999
Högskoleingenjör,public,0.0348999534667,44000-44999
Högskoleingenjör,public,0.0269892973476,45000-45999
Högskoleingenjör,public,0.0269892973476,46000-46999
Högskoleingenjör,public,0.0232666356445,47000-47999
Högskoleingenjör,public,0.0190786412285,48000-48999
Högskoleingenjör,public,0.0172173103769,49000-49999
Högskoleingenjör,public,0.0144253140996,50000-50999
Högskoleingenjör,public,0.0088413215449,51000-51999
Högskoleingenjör,public,0.0102373196836,52000-52999
Högskoleingenjör,public,0.00837598883201,53000-53999
Högskoleingenjör,public,0.00791065611913,54000-54999
Högskoleingenjör,public,0.0367612843183,55000-
