profession,publicprivate,value,income
Jurist,private,0.00287026406429,-24999
Jurist,private,0.00344431687715,25000-25999
Jurist,private,0.00229621125144,26000-26999
Jurist,private,0.00717566016073,27000-27999
Jurist,private,0.0123421354765,28000-28999
Jurist,private,0.014064293915,29000-29999
Jurist,private,0.0180826636051,30000-30999
Jurist,private,0.0189437428243,31000-31999
Jurist,private,0.0183696900115,32000-32999
Jurist,private,0.0183696900115,33000-33999
Jurist,private,0.0206659012629,34000-34999
Jurist,private,0.0287026406429,35000-35999
Jurist,private,0.0198048220436,36000-36999
Jurist,private,0.0232491389208,37000-37999
Jurist,private,0.0223880597015,38000-38999
Jurist,private,0.0126291618829,39000-39999
Jurist,private,0.0261194029851,40000-40999
Jurist,private,0.0183696900115,41000-41999
Jurist,private,0.0203788748565,42000-42999
Jurist,private,0.0198048220436,43000-43999
Jurist,private,0.0134902411022,44000-44999
Jurist,private,0.0241102181401,45000-45999
Jurist,private,0.0186567164179,46000-46999
Jurist,private,0.0177956371986,47000-47999
Jurist,private,0.0206659012629,48000-48999
Jurist,private,0.0146383467279,49000-49999
Jurist,private,0.0249712973594,50000-50999
Jurist,private,0.0180826636051,51000-51999
Jurist,private,0.0180826636051,52000-52999
Jurist,private,0.0157864523536,53000-53999
Jurist,private,0.010045924225,54000-54999
Jurist,private,0.0200918484501,55000-55999
Jurist,private,0.0152123995408,56000-56999
Jurist,private,0.0177956371986,57000-57999
Jurist,private,0.0114810562572,58000-58999
Jurist,private,0.0106199770379,59000-59999
Jurist,private,0.0218140068886,60000-60999
Jurist,private,0.0137772675086,61000-61999
Jurist,private,0.0126291618829,62000-62999
Jurist,private,0.0117680826636,63000-63999
Jurist,private,0.00918484500574,64000-64999
Jurist,private,0.0149253731343,65000-65999
Jurist,private,0.0111940298507,66000-66999
Jurist,private,0.0134902411022,67000-67999
Jurist,private,0.0109070034443,68000-68999
Jurist,private,0.00889781859931,69000-69999
Jurist,private,0.0143513203215,70000-70999
Jurist,private,0.010045924225,71000-71999
Jurist,private,0.010045924225,72000-72999
Jurist,private,0.0097588978186,73000-73999
Jurist,private,0.00832376578645,74000-74999
Jurist,private,0.0152123995408,75000-75999
Jurist,private,0.00832376578645,76000-76999
Jurist,private,0.00774971297359,77000-77999
Jurist,private,0.0103329506315,78000-78999
Jurist,private,0.00688863375431,79000-79999
Jurist,private,0.0123421354765,80000-80999
Jurist,private,0.00602755453502,81000-81999
Jurist,private,0.00861079219288,82000-82999
Jurist,private,0.00717566016073,83000-83999
Jurist,private,0.00401836969001,84000-84999
Jurist,private,0.00889781859931,85000-85999
Jurist,private,0.00631458094145,86000-86999
Jurist,private,0.00172215843858,87000-87999
Jurist,private,0.00373134328358,88000-88999
Jurist,private,0.00229621125144,89000-89999
Jurist,private,0.00717566016073,90000-90999
Jurist,private,0.0048794489093,91000-91999
Jurist,private,0.00287026406429,92000-92999
Jurist,private,0.00373134328358,93000-93999
Jurist,private,0.00315729047072,94000-94999
Jurist,private,0.00574052812859,95000-95999
Jurist,private,0.00258323765786,96000-96999
Jurist,private,0.00258323765786,97000-97999
Jurist,private,0.00287026406429,98000-98999
Jurist,private,0.000287026406429,99000-99999
Jurist,private,0.0048794489093,100000-1009
Jurist,private,0.00287026406429,101000-1019
Jurist,private,0.00172215843858,102000-1029
Jurist,private,0.00143513203215,103000-1039
Jurist,private,0.00287026406429,104000-1049
Jurist,private,0.00315729047072,105000-1059
Jurist,private,0.00200918484501,106000-1069
Jurist,private,0.00287026406429,107000-1079
Jurist,private,0.00258323765786,108000-1089
Jurist,private,0.00143513203215,109000-1099
Jurist,private,0.00258323765786,110000-1109
Jurist,private,0.00114810562572,111000-1119
Jurist,private,0.00143513203215,112000-1129
Jurist,private,0.00172215843858,113000-1139
Jurist,private,0.000574052812859,114000-1149
Jurist,private,0.00258323765786,115000-1159
Jurist,private,0.000574052812859,116000-1169
Jurist,private,0.00200918484501,117000-1179
Jurist,private,0.00172215843858,118000-1189
Jurist,private,0.000574052812859,119000-1199
Jurist,private,0.00172215843858,120000-1209
Jurist,private,0.000861079219288,121000-1219
Jurist,private,0.000861079219288,122000-1229
Jurist,private,0.00114810562572,123000-1239
Jurist,private,0.000861079219288,124000-1249
Jurist,private,0.0275545350172,125000-
