profession,publicprivate,value,income
Jurist,public,0.0101084359493,-25999
Jurist,public,0.0244440360228,26000-26999
Jurist,public,0.020033082154,27000-27999
Jurist,public,0.0376768976291,28000-28999
Jurist,public,0.0268333027017,29000-29999
Jurist,public,0.0251791950009,30000-30999
Jurist,public,0.0211358206212,31000-31999
Jurist,public,0.0235250873001,32000-32999
Jurist,public,0.0347362617166,33000-33999
Jurist,public,0.0297739386142,34000-34999
Jurist,public,0.0334497335049,35000-35999
Jurist,public,0.0362065796729,36000-36999
Jurist,public,0.0340011027385,37000-37999
Jurist,public,0.0332659437603,38000-38999
Jurist,public,0.0308766770814,39000-39999
Jurist,public,0.0334497335049,40000-40999
Jurist,public,0.0297739386142,41000-41999
Jurist,public,0.028671200147,42000-42999
Jurist,public,0.031060466826,43000-43999
Jurist,public,0.0277522514244,44000-44999
Jurist,public,0.0246278257673,45000-45999
Jurist,public,0.0297739386142,46000-46999
Jurist,public,0.0251791950009,47000-47999
Jurist,public,0.028671200147,48000-48999
Jurist,public,0.0207682411321,49000-49999
Jurist,public,0.022789928322,50000-50999
Jurist,public,0.0163572872634,51000-51999
Jurist,public,0.014519389818,52000-52999
Jurist,public,0.0137842308399,53000-53999
Jurist,public,0.0126814923727,54000-54999
Jurist,public,0.0130490718618,55000-55999
Jurist,public,0.00992464620474,56000-56999
Jurist,public,0.00900569748208,57000-57999
Jurist,public,0.00771916927035,58000-58999
Jurist,public,0.00974085646021,59000-59999
Jurist,public,0.0126814923727,60000-60999
Jurist,public,0.0134166513509,61000-61999
Jurist,public,0.0115787539055,62000-62999
Jurist,public,0.014151810329,63000-63999
Jurist,public,0.014519389818,64000-64999
Jurist,public,0.014151810329,65000-65999
Jurist,public,0.0112111744165,66000-66999
Jurist,public,0.00808674875942,67000-67999
Jurist,public,0.00422716412424,68000-68999
Jurist,public,0.00477853335784,69000-69999
Jurist,public,0.00459474361331,70000-70999
Jurist,public,0.00385958463518,71000-71999
Jurist,public,0.00441095386877,72000-72999
Jurist,public,0.00294063591252,73000-73999
Jurist,public,0.00477853335784,74000-74999
Jurist,public,0.00367579489065,75000-75999
Jurist,public,0.00257305642345,76000-76999
Jurist,public,0.00220547693439,77000-77999
Jurist,public,0.0316118360595,78000-
