profession,publicprivate,value,income
Miljövetare,private,0.010101010101,-24999
Miljövetare,private,0.00606060606061,26000-26999
Miljövetare,private,0.010101010101,27000-27999
Miljövetare,private,0.010101010101,28000-28999
Miljövetare,private,0.0161616161616,29000-29999
Miljövetare,private,0.0282828282828,30000-30999
Miljövetare,private,0.020202020202,31000-31999
Miljövetare,private,0.0444444444444,32000-32999
Miljövetare,private,0.0444444444444,33000-33999
Miljövetare,private,0.0565656565657,34000-34999
Miljövetare,private,0.0545454545455,35000-35999
Miljövetare,private,0.0525252525253,36000-36999
Miljövetare,private,0.0363636363636,37000-37999
Miljövetare,private,0.0383838383838,38000-38999
Miljövetare,private,0.0363636363636,39000-39999
Miljövetare,private,0.0424242424242,40000-40999
Miljövetare,private,0.040404040404,41000-41999
Miljövetare,private,0.0464646464646,42000-42999
Miljövetare,private,0.0363636363636,43000-43999
Miljövetare,private,0.0181818181818,44000-44999
Miljövetare,private,0.0323232323232,45000-45999
Miljövetare,private,0.0383838383838,46000-46999
Miljövetare,private,0.0222222222222,47000-47999
Miljövetare,private,0.0222222222222,48000-48999
Miljövetare,private,0.0181818181818,49000-49999
Miljövetare,private,0.0242424242424,50000-50999
Miljövetare,private,0.0262626262626,51000-51999
Miljövetare,private,0.0161616161616,52000-52999
Miljövetare,private,0.0141414141414,53000-53999
Miljövetare,private,0.0161616161616,54000-54999
Miljövetare,private,0.0242424242424,55000-55999
Miljövetare,private,0.010101010101,56000-56999
Miljövetare,private,0.0161616161616,57000-57999
Miljövetare,private,0.0040404040404,58000-58999
Miljövetare,private,0.00808080808081,59000-59999
Miljövetare,private,0.00808080808081,60000-60999
Miljövetare,private,0.00606060606061,61000-61999
Miljövetare,private,0.0020202020202,62000-62999
Miljövetare,private,0.00606060606061,63000-63999
Miljövetare,private,0.0020202020202,64000-64999
Miljövetare,private,0.00808080808081,65000-65999
Miljövetare,private,0.0040404040404,66000-66999
Miljövetare,private,0.00606060606061,67000-67999
Miljövetare,private,0.0040404040404,68000-68999
Miljövetare,private,0.0121212121212,70000-
Miljövetare,private,0.0,69000-69999
