profession,publicprivate,value,income
Miljövetare,public,0.0202702702703,-26999
Miljövetare,public,0.0162162162162,27000-27999
Miljövetare,public,0.0324324324324,28000-28999
Miljövetare,public,0.047972972973,29000-29999
Miljövetare,public,0.0608108108108,30000-30999
Miljövetare,public,0.072972972973,31000-31999
Miljövetare,public,0.0763513513514,32000-32999
Miljövetare,public,0.0837837837838,33000-33999
Miljövetare,public,0.0918918918919,34000-34999
Miljövetare,public,0.0912162162162,35000-35999
Miljövetare,public,0.052027027027,36000-36999
Miljövetare,public,0.0439189189189,37000-37999
Miljövetare,public,0.0466216216216,38000-38999
Miljövetare,public,0.0331081081081,39000-39999
Miljövetare,public,0.0337837837838,40000-40999
Miljövetare,public,0.0263513513514,41000-41999
Miljövetare,public,0.0216216216216,42000-42999
Miljövetare,public,0.0189189189189,43000-43999
Miljövetare,public,0.0216216216216,44000-44999
Miljövetare,public,0.0155405405405,45000-45999
Miljövetare,public,0.0108108108108,46000-46999
Miljövetare,public,0.00608108108108,47000-47999
Miljövetare,public,0.00743243243243,48000-48999
Miljövetare,public,0.00540540540541,49000-49999
Miljövetare,public,0.00945945945946,50000-50999
Miljövetare,public,0.00743243243243,51000-51999
Miljövetare,public,0.00810810810811,52000-52999
Miljövetare,public,0.00675675675676,53000-53999
Miljövetare,public,0.0310810810811,54000-
