profession,publicprivate,value,income
personalvetare,private,0.00238521168754,-24999
personalvetare,private,0.00298151460942,25000-25999
personalvetare,private,0.00417412045319,26000-26999
personalvetare,private,0.00715563506261,27000-27999
personalvetare,private,0.0131186642815,28000-28999
personalvetare,private,0.00894454382826,29000-29999
personalvetare,private,0.0166964818128,30000-30999
personalvetare,private,0.010137149672,31000-31999
personalvetare,private,0.0220632081097,32000-32999
personalvetare,private,0.0214669051878,33000-33999
personalvetare,private,0.0184853905784,34000-34999
personalvetare,private,0.0357781753131,35000-35999
personalvetare,private,0.0280262373286,36000-36999
personalvetare,private,0.031007751938,37000-37999
personalvetare,private,0.0214669051878,38000-38999
personalvetare,private,0.0250447227191,39000-39999
personalvetare,private,0.0429338103757,40000-40999
personalvetare,private,0.0274299344067,41000-41999
personalvetare,private,0.0304114490161,42000-42999
personalvetare,private,0.025641025641,43000-43999
personalvetare,private,0.0202742993441,44000-44999
personalvetare,private,0.0262373285629,45000-45999
personalvetare,private,0.0244484197973,46000-46999
personalvetare,private,0.0280262373286,47000-47999
personalvetare,private,0.0262373285629,48000-48999
personalvetare,private,0.0202742993441,49000-49999
personalvetare,private,0.0381633870006,50000-50999
personalvetare,private,0.0214669051878,51000-51999
personalvetare,private,0.0166964818128,52000-52999
personalvetare,private,0.0172927847346,53000-53999
personalvetare,private,0.0214669051878,54000-54999
personalvetare,private,0.0268336314848,55000-55999
personalvetare,private,0.0131186642815,56000-56999
personalvetare,private,0.0149075730471,57000-57999
personalvetare,private,0.0143112701252,58000-58999
personalvetare,private,0.0166964818128,59000-59999
personalvetare,private,0.0131186642815,60000-60999
personalvetare,private,0.00954084675015,61000-61999
personalvetare,private,0.0137149672033,62000-62999
personalvetare,private,0.0125223613596,63000-63999
personalvetare,private,0.00655933214073,64000-64999
personalvetare,private,0.015503875969,65000-65999
personalvetare,private,0.0077519379845,66000-66999
personalvetare,private,0.00894454382826,67000-67999
personalvetare,private,0.0119260584377,68000-68999
personalvetare,private,0.00357781753131,69000-69999
personalvetare,private,0.0113297555158,70000-70999
personalvetare,private,0.00834824090638,71000-71999
personalvetare,private,0.00357781753131,72000-72999
personalvetare,private,0.00715563506261,73000-73999
personalvetare,private,0.00536672629696,74000-74999
personalvetare,private,0.0107334525939,75000-75999
personalvetare,private,0.00596302921884,76000-76999
personalvetare,private,0.00477042337507,77000-77999
personalvetare,private,0.00298151460942,78000-78999
personalvetare,private,0.00417412045319,79000-79999
personalvetare,private,0.010137149672,80000-80999
personalvetare,private,0.00357781753131,81000-81999
personalvetare,private,0.00238521168754,82000-82999
personalvetare,private,0.00178890876565,83000-83999
personalvetare,private,0.00298151460942,84000-84999
personalvetare,private,0.00477042337507,85000-85999
personalvetare,private,0.00357781753131,86000-86999
personalvetare,private,0.00238521168754,87000-87999
personalvetare,private,0.00119260584377,88000-88999
personalvetare,private,0.00119260584377,89000-89999
personalvetare,private,0.00417412045319,90000-90999
personalvetare,private,0.00178890876565,91000-91999
personalvetare,private,0.00178890876565,92000-92999
personalvetare,private,0.00238521168754,93000-93999
personalvetare,private,0.00178890876565,94000-94999
personalvetare,private,0.00357781753131,95000-95999
personalvetare,private,0.000596302921884,96000-96999
personalvetare,private,0.00119260584377,97000-97999
personalvetare,private,0.00178890876565,98000-98999
personalvetare,private,0.00119260584377,99000-99999
personalvetare,private,0.00178890876565,100000-1009
personalvetare,private,0.00178890876565,101000-1019
personalvetare,private,0.00119260584377,102000-1029
personalvetare,private,0.00178890876565,103000-1039
personalvetare,private,0.000596302921884,104000-1049
personalvetare,private,0.0292188431723,105000-
