profession,publicprivate,value,income
personalvetare,public,0.0016346546792,-24999
personalvetare,public,0.0024519820188,25000-25999
personalvetare,public,0.002043318349,26000-26999
personalvetare,public,0.0065386187168,27000-27999
personalvetare,public,0.012259910094,28000-28999
personalvetare,public,0.0200245198202,29000-29999
personalvetare,public,0.0277891295464,30000-30999
personalvetare,public,0.0294237842256,31000-31999
personalvetare,public,0.0322844299142,32000-32999
personalvetare,public,0.0363710666122,33000-33999
personalvetare,public,0.034736411933,34000-34999
personalvetare,public,0.0543522680834,35000-35999
personalvetare,public,0.0506742950552,36000-36999
personalvetare,public,0.0457703310176,37000-37999
personalvetare,public,0.0461789946874,38000-38999
personalvetare,public,0.0478136493666,39000-39999
personalvetare,public,0.0584389047814,40000-40999
personalvetare,public,0.0441356763384,41000-41999
personalvetare,public,0.0433183489988,42000-42999
personalvetare,public,0.0355537392726,43000-43999
personalvetare,public,0.0363710666122,44000-44999
personalvetare,public,0.0363710666122,45000-45999
personalvetare,public,0.022476501839,46000-46999
personalvetare,public,0.032693093584,47000-47999
personalvetare,public,0.0257458111974,48000-48999
personalvetare,public,0.0261544748672,49000-49999
personalvetare,public,0.0208418471598,50000-50999
personalvetare,public,0.0171638741316,51000-51999
personalvetare,public,0.0126685737638,52000-52999
personalvetare,public,0.0114425827544,53000-53999
personalvetare,public,0.0134859011034,54000-54999
personalvetare,public,0.014303228443,55000-55999
personalvetare,public,0.00899060073559,56000-56999
personalvetare,public,0.0073559460564,57000-57999
personalvetare,public,0.004086636698,58000-58999
personalvetare,public,0.0057212913772,59000-59999
personalvetare,public,0.004086636698,60000-60999
personalvetare,public,0.0053126277074,61000-61999
personalvetare,public,0.004086636698,62000-62999
personalvetare,public,0.008173273396,63000-63999
personalvetare,public,0.0044953003678,64000-64999
personalvetare,public,0.0057212913772,65000-65999
personalvetare,public,0.0044953003678,66000-66999
personalvetare,public,0.0044953003678,67000-67999
personalvetare,public,0.0012259910094,68000-68999
personalvetare,public,0.0024519820188,69000-69999
personalvetare,public,0.0277891295464,70000-
