profession,publicprivate,value,income
psykolog,private,0.0026,-26999
psykolog,private,0.0130039011704,27000-27999
psykolog,private,0.00780234070221,28000-28999
psykolog,private,0.00910273081925,29000-29999
psykolog,private,0.0117035110533,30000-30999
psykolog,private,0.00780234070221,31000-31999
psykolog,private,0.0117035110533,32000-32999
psykolog,private,0.00780234070221,33000-33999
psykolog,private,0.0104031209363,34000-34999
psykolog,private,0.0273081924577,35000-35999
psykolog,private,0.0390117035111,36000-36999
psykolog,private,0.0663198959688,37000-37999
psykolog,private,0.0845253576073,38000-38999
psykolog,private,0.0767230169051,39000-39999
psykolog,private,0.107932379714,40000-40999
psykolog,private,0.0780234070221,41000-41999
psykolog,private,0.0715214564369,42000-42999
psykolog,private,0.074122236671,43000-43999
psykolog,private,0.0533159947984,44000-44999
psykolog,private,0.0494148244473,45000-45999
psykolog,private,0.0403120936281,46000-46999
psykolog,private,0.0286085825748,47000-47999
psykolog,private,0.0208062418726,48000-48999
psykolog,private,0.0143042912874,49000-49999
psykolog,private,0.0143042912874,50000-50999
psykolog,private,0.00520156046814,51000-51999
psykolog,private,0.0104031209363,52000-52999
psykolog,private,0.0104031209363,53000-53999
psykolog,private,0.00390117035111,54000-54999
psykolog,private,0.0104031209363,55000-55999
psykolog,private,0.00390117035111,57000-57999
psykolog,private,0.00520156046814,58000-58999
psykolog,private,0.0221066319896,60000-
psykolog,private,0.0,59000-59999
psykolog,private,0.0,56000-56999
