profession,publicprivate,value,income
Psykolog,public,0.0278355879292,-26999
Psykolog,public,0.0145681581686,27000-27999
Psykolog,public,0.0145681581686,28000-28999
Psykolog,public,0.0085848074922,29000-29999
Psykolog,public,0.022372528616,30000-30999
Psykolog,public,0.0098855359001,31000-31999
Psykolog,public,0.0208116545265,32000-32999
Psykolog,public,0.0424037460978,33000-33999
Psykolog,public,0.0507284079084,34000-34999
Psykolog,public,0.0754422476587,35000-35999
Psykolog,public,0.0780437044745,36000-36999
Psykolog,public,0.0806451612903,37000-37999
Psykolog,public,0.0842872008325,38000-38999
Psykolog,public,0.0702393340271,39000-39999
Psykolog,public,0.076482830385,40000-40999
Psykolog,public,0.0645161290323,41000-41999
Psykolog,public,0.0559313215401,42000-42999
Psykolog,public,0.0418834547347,43000-43999
Psykolog,public,0.0382414151925,44000-44999
Psykolog,public,0.0309573361082,45000-45999
Psykolog,public,0.0197710718002,46000-46999
Psykolog,public,0.0158688865765,47000-47999
Psykolog,public,0.0124869927159,48000-48999
Psykolog,public,0.0098855359001,49000-49999
Psykolog,public,0.033558792924,50000-
