profession,publicprivate,value,income
psykologer,private,0.002079002079,25000-25999
psykologer,private,0.0010395010395,26000-26999
psykologer,private,0.00519750519751,27000-27999
psykologer,private,0.0031185031185,28000-28999
psykologer,private,0.00623700623701,29000-29999
psykologer,private,0.004158004158,30000-30999
psykologer,private,0.00831600831601,31000-31999
psykologer,private,0.00623700623701,32000-32999
psykologer,private,0.00831600831601,33000-33999
psykologer,private,0.00935550935551,34000-34999
psykologer,private,0.00831600831601,35000-35999
psykologer,private,0.010395010395,36000-36999
psykologer,private,0.037422037422,37000-37999
psykologer,private,0.0561330561331,38000-38999
psykologer,private,0.0623700623701,39000-39999
psykologer,private,0.0665280665281,40000-40999
psykologer,private,0.0862785862786,41000-41999
psykologer,private,0.0935550935551,42000-42999
psykologer,private,0.0810810810811,43000-43999
psykologer,private,0.0800415800416,44000-44999
psykologer,private,0.0706860706861,45000-45999
psykologer,private,0.047817047817,46000-46999
psykologer,private,0.045738045738,47000-47999
psykologer,private,0.029106029106,48000-48999
psykologer,private,0.029106029106,49000-49999
psykologer,private,0.0218295218295,50000-50999
psykologer,private,0.02079002079,51000-51999
psykologer,private,0.0176715176715,52000-52999
psykologer,private,0.00623700623701,53000-53999
psykologer,private,0.0114345114345,54000-54999
psykologer,private,0.012474012474,55000-55999
psykologer,private,0.00623700623701,56000-56999
psykologer,private,0.00519750519751,57000-57999
psykologer,private,0.002079002079,58000-58999
psykologer,private,0.004158004158,59000-59999
psykologer,private,0.00519750519751,60000-60999
psykologer,private,0.004158004158,61000-61999
psykologer,private,0.004158004158,62000-62999
psykologer,private,0.004158004158,63000-63999
psykologer,private,0.0155925155925,65000-
psykologer,private,0.0,64000-64999
