profession,publicprivate,value,income
psykologer,public,0.000273298715496,-24999
psykologer,public,0.000273298715496,25000-25999
psykologer,public,0.00245968843946,26000-26999
psykologer,public,0.0142115332058,27000-27999
psykologer,public,0.0229570921017,28000-28999
psykologer,public,0.0139382344903,29000-29999
psykologer,public,0.0114785460508,30000-30999
psykologer,public,0.0109319486198,31000-31999
psykologer,public,0.00901885761137,32000-32999
psykologer,public,0.00382618201694,33000-33999
psykologer,public,0.0163979229298,34000-34999
psykologer,public,0.032522547144,35000-35999
psykologer,public,0.0470073790653,36000-36999
psykologer,public,0.0579393276852,37000-37999
psykologer,public,0.0702377698825,38000-38999
psykologer,public,0.0702377698825,39000-39999
psykologer,public,0.0707843673135,40000-40999
psykologer,public,0.072150860891,41000-41999
psykologer,public,0.0680513801585,42000-42999
psykologer,public,0.06613828915,43000-43999
psykologer,public,0.0631320032796,44000-44999
psykologer,public,0.0560262366767,45000-45999
psykologer,public,0.0401749111779,46000-46999
psykologer,public,0.0426345996174,47000-47999
psykologer,public,0.0297895599891,48000-48999
psykologer,public,0.0270565728341,49000-49999
psykologer,public,0.0155780267833,50000-50999
psykologer,public,0.0125717409128,51000-51999
psykologer,public,0.0114785460508,52000-52999
psykologer,public,0.00737906531839,53000-53999
psykologer,public,0.00519267559442,54000-54999
psykologer,public,0.0281497676961,55000-
