profession,publicprivate,value,income
Samhällsvetare,public,0.0155379158926,-25999
Samhällsvetare,public,0.0168890390137,26000-26999
Samhällsvetare,public,0.0331025164668,27000-27999
Samhällsvetare,public,0.0401959128526,28000-28999
Samhällsvetare,public,0.0371558858301,29000-29999
Samhällsvetare,public,0.043235939875,30000-30999
Samhällsvetare,public,0.0366492146597,31000-31999
Samhällsvetare,public,0.039520351292,32000-32999
Samhällsvetare,public,0.0378314473906,33000-33999
Samhällsvetare,public,0.0422225975342,34000-34999
Samhällsvetare,public,0.0479648707989,35000-35999
Samhällsvetare,public,0.0454315149468,36000-36999
Samhällsvetare,public,0.0472893092383,37000-37999
Samhällsvetare,public,0.0410403648032,38000-38999
Samhällsvetare,public,0.0412092551934,39000-39999
Samhällsvetare,public,0.039520351292,40000-40999
Samhällsvetare,public,0.0405336936328,41000-41999
Samhällsvetare,public,0.0412092551934,42000-42999
Samhällsvetare,public,0.028373585543,43000-43999
Samhällsvetare,public,0.0293869278838,44000-44999
Samhällsvetare,public,0.0290491471035,45000-45999
Samhällsvetare,public,0.0216179699375,46000-46999
Samhällsvetare,public,0.0214490795474,47000-47999
Samhällsvetare,public,0.0206046275967,48000-48999
Samhällsvetare,public,0.0165512582334,49000-49999
Samhällsvetare,public,0.0131734504307,50000-50999
Samhällsvetare,public,0.0103023137983,51000-51999
Samhällsvetare,public,0.0126667792603,52000-52999
Samhällsvetare,public,0.0108089849688,53000-53999
Samhällsvetare,public,0.0101334234082,54000-54999
Samhällsvetare,public,0.0082756291167,55000-55999
Samhällsvetare,public,0.0064178348252,56000-56999
Samhällsvetare,public,0.00422225975342,57000-57999
Samhällsvetare,public,0.00726228677588,58000-58999
Samhällsvetare,public,0.00557338287451,59000-59999
Samhällsvetare,public,0.00692450599561,60000-60999
Samhällsvetare,public,0.00388447897315,61000-61999
Samhällsvetare,public,0.00540449248438,62000-62999
Samhällsvetare,public,0.00371558858301,63000-63999
Samhällsvetare,public,0.00439115014356,64000-64999
Samhällsvetare,public,0.0032089174126,65000-65999
Samhällsvetare,public,0.0300624894444,66000-
