profession,publicprivate,value,income
Socionom,public,0.00354939575763,-24999
Socionom,public,0.00169018845601,25000-25999
Socionom,public,0.00549311248204,26000-26999
Socionom,public,0.0161412997549,27000-27999
Socionom,public,0.0311839770134,28000-28999
Socionom,public,0.0420856925547,29000-29999
Socionom,public,0.0611848221077,30000-30999
Socionom,public,0.0751288768698,31000-31999
Socionom,public,0.0837488379954,32000-32999
Socionom,public,0.0916082143159,33000-33999
Socionom,public,0.0927068368123,34000-34999
Socionom,public,0.0786782726274,35000-35999
Socionom,public,0.072509084763,36000-36999
Socionom,public,0.0605932561481,37000-37999
Socionom,public,0.0526493704048,38000-38999
Socionom,public,0.0387898250655,39000-39999
Socionom,public,0.0320290712414,40000-40999
Socionom,public,0.0240006760754,41000-41999
Socionom,public,0.0201977520494,42000-42999
Socionom,public,0.0159722809093,43000-43999
Socionom,public,0.0152116961041,44000-44999
Socionom,public,0.0114087720781,45000-45999
Socionom,public,0.0120848474605,46000-46999
Socionom,public,0.00988760246768,47000-47999
Socionom,public,0.00684526324685,48000-48999
Socionom,public,0.00692977266965,49000-49999
Socionom,public,0.00490154652244,50000-50999
Socionom,public,0.00447899940843,51000-51999
Socionom,public,0.00261979210682,52000-52999
Socionom,public,0.00278881095242,53000-53999
Socionom,public,0.00261979210682,54000-54999
Socionom,public,0.0202822614722,55000-
