profession,publicprivate,value,income
Tandhygienist,public,0.0698051948052,-24999
Tandhygienist,public,0.0608766233766,25000-25999
Tandhygienist,public,0.0560064935065,26000-26999
Tandhygienist,public,0.0746753246753,27000-27999
Tandhygienist,public,0.0892857142857,28000-28999
Tandhygienist,public,0.0827922077922,29000-29999
Tandhygienist,public,0.100649350649,30000-30999
Tandhygienist,public,0.0965909090909,31000-31999
Tandhygienist,public,0.0892857142857,32000-32999
Tandhygienist,public,0.0633116883117,33000-33999
Tandhygienist,public,0.0560064935065,34000-34999
Tandhygienist,public,0.0373376623377,35000-35999
Tandhygienist,public,0.0219155844156,36000-36999
Tandhygienist,public,0.0194805194805,37000-37999
Tandhygienist,public,0.0186688311688,38000-38999
Tandhygienist,public,0.00892857142857,39000-39999
Tandhygienist,public,0.0113636363636,40000-40999
Tandhygienist,public,0.00405844155844,41000-41999
Tandhygienist,public,0.00243506493506,42000-42999
Tandhygienist,public,0.00162337662338,43000-43999
Tandhygienist,public,0.0349025974026,44000-
