profession,publicprivate,value,income
Samhällsvetare,private,0.036745406824,-24999
Samhällsvetare,private,0.034120734908,25000-25999
Samhällsvetare,private,0.02624671916,26000-26999
Samhällsvetare,private,0.03937007874,27000-27999
Samhällsvetare,private,0.068241469816,28000-28999
Samhällsvetare,private,0.057742782152,29000-29999
Samhällsvetare,private,0.094488188976,30000-30999
Samhällsvetare,private,0.041994750656,31000-31999
Samhällsvetare,private,0.044619422572,32000-32999
Samhällsvetare,private,0.05249343832,33000-33999
Samhällsvetare,private,0.057742782152,34000-34999
Samhällsvetare,private,0.055118110236,35000-35999
Samhällsvetare,private,0.028871391076,36000-36999
Samhällsvetare,private,0.031496062992,37000-37999
Samhällsvetare,private,0.02624671916,38000-38999
Samhällsvetare,private,0.015748031496,39000-39999
Samhällsvetare,private,0.044619422572,40000-40999
Samhällsvetare,private,0.005249343832,41000-41999
Samhällsvetare,private,0.02624671916,42000-42999
Samhällsvetare,private,0.015748031496,43000-43999
Samhällsvetare,private,0.020997375328,44000-44999
Samhällsvetare,private,0.034120734908,45000-45999
Samhällsvetare,private,0.01312335958,46000-46999
Samhällsvetare,private,0.015748031496,47000-47999
Samhällsvetare,private,0.010498687664,48000-48999
Samhällsvetare,private,0.010498687664,49000-49999
Samhällsvetare,private,0.010498687664,50000-50999
Samhällsvetare,private,0.002624671916,51000-51999
Samhällsvetare,private,0.005249343832,52000-52999
Samhällsvetare,private,0.002624671916,53000-53999
Samhällsvetare,private,0.002624671916,54000-54999
Samhällsvetare,private,0.01312335958,55000-55999
Samhällsvetare,private,0.005249343832,56000-56999
Samhällsvetare,private,0.005249343832,58000-58999
Samhällsvetare,private,0.002624671916,59000-59999
Samhällsvetare,private,0.002624671916,60000-60999
Samhällsvetare,private,0.002624671916,62000-62999
Samhällsvetare,private,0.002624671916,63000-63999
Samhällsvetare,private,0.034120734908,64000-
Samhällsvetare,private,0.0,57000-57999
Samhällsvetare,private,0.0,61000-61999
