profession,publicprivate,value,income
Beteendevetare,private,0.0157894736842,-24999
Beteendevetare,private,0.0105263157895,25000-25999
Beteendevetare,private,0.0131578947368,26000-26999
Beteendevetare,private,0.0315789473684,27000-27999
Beteendevetare,private,0.0342105263158,28000-28999
Beteendevetare,private,0.0421052631579,29000-29999
Beteendevetare,private,0.05,30000-30999
Beteendevetare,private,0.05,31000-31999
Beteendevetare,private,0.0526315789474,32000-32999
Beteendevetare,private,0.0763157894737,33000-33999
Beteendevetare,private,0.0447368421053,34000-34999
Beteendevetare,private,0.0421052631579,35000-35999
Beteendevetare,private,0.0578947368421,36000-36999
Beteendevetare,private,0.0710526315789,37000-37999
Beteendevetare,private,0.0368421052632,38000-38999
Beteendevetare,private,0.0184210526316,39000-39999
Beteendevetare,private,0.0447368421053,40000-40999
Beteendevetare,private,0.0131578947368,41000-41999
Beteendevetare,private,0.0473684210526,42000-42999
Beteendevetare,private,0.0236842105263,43000-43999
Beteendevetare,private,0.0236842105263,44000-44999
Beteendevetare,private,0.0342105263158,45000-45999
Beteendevetare,private,0.0210526315789,46000-46999
Beteendevetare,private,0.0157894736842,47000-47999
Beteendevetare,private,0.0210526315789,48000-48999
Beteendevetare,private,0.00789473684211,49000-49999
Beteendevetare,private,0.00526315789474,50000-50999
Beteendevetare,private,0.0,51000-51999
Beteendevetare,private,0.0131578947368,52000-52999
Beteendevetare,private,0.0131578947368,53000-53999
Beteendevetare,private,0.00526315789474,54000-54999
Beteendevetare,private,0.00526315789474,55000-55999
Beteendevetare,private,0.00263157894737,56000-56999
Beteendevetare,private,0.00789473684211,57000-57999
Beteendevetare,private,0.0,58000-58999
Beteendevetare,private,0.00263157894737,59000-59999
Beteendevetare,private,0.00526315789474,60000-60999
Beteendevetare,private,0.00263157894737,61000-61999
Beteendevetare,private,0.00263157894737,62000-62999
Beteendevetare,private,0.0,63000-63999
Beteendevetare,private,0.00789473684211,64000-64999
Beteendevetare,private,0.0263157894737,65000-
