profession,publicprivate,value,income
beteendevetare,public,0.00988947062245,-24999
beteendevetare,public,0.00639906922629,25000-25999
beteendevetare,public,0.0110529377545,26000-26999
beteendevetare,public,0.0174520069808,27000-27999
beteendevetare,public,0.0244328097731,28000-28999
beteendevetare,public,0.0500290866783,29000-29999
beteendevetare,public,0.0639906922629,30000-30999
beteendevetare,public,0.0820244328098,31000-31999
beteendevetare,public,0.086678301338,32000-32999
beteendevetare,public,0.0855148342059,33000-33999
beteendevetare,public,0.0756253635835,34000-34999
beteendevetare,public,0.0709714950553,35000-35999
beteendevetare,public,0.0605002908668,36000-36999
beteendevetare,public,0.0599185573008,37000-37999
beteendevetare,public,0.0314136125654,38000-38999
beteendevetare,public,0.0267597440372,39000-39999
beteendevetare,public,0.0331588132635,40000-40999
beteendevetare,public,0.0238510762071,41000-41999
beteendevetare,public,0.022687609075,42000-42999
beteendevetare,public,0.0203606748109,43000-43999
beteendevetare,public,0.0180337405468,44000-44999
beteendevetare,public,0.0122164048866,45000-45999
beteendevetare,public,0.0139616055846,46000-46999
beteendevetare,public,0.0145433391507,47000-47999
beteendevetare,public,0.0145433391507,48000-48999
beteendevetare,public,0.00814426992437,49000-49999
beteendevetare,public,0.00814426992437,50000-50999
beteendevetare,public,0.00639906922629,51000-51999
beteendevetare,public,0.00349040139616,52000-52999
beteendevetare,public,0.00523560209424,53000-53999
beteendevetare,public,0.00116346713205,54000-54999
beteendevetare,public,0.00290866783013,55000-55999
beteendevetare,public,0.00523560209424,56000-56999
beteendevetare,public,0.00290866783013,57000-57999
beteendevetare,public,0.00232693426411,58000-58999
beteendevetare,public,0.00116346713205,59000-59999
beteendevetare,public,0.0168702734148,60000-
