profession,publicprivate,value,income
Ekonom,private,0.0116279069767,-24999
Ekonom,private,0.0145348837209,25000-25999
Ekonom,private,0.0116279069767,26000-26999
Ekonom,private,0.0174418604651,27000-27999
Ekonom,private,0.0145348837209,28000-28999
Ekonom,private,0.0174418604651,29000-29999
Ekonom,private,0.0174418604651,30000-30999
Ekonom,private,0.0232558139535,31000-31999
Ekonom,private,0.0406976744186,32000-32999
Ekonom,private,0.0261627906977,33000-33999
Ekonom,private,0.0116279069767,34000-34999
Ekonom,private,0.0348837209302,35000-35999
Ekonom,private,0.031976744186,36000-36999
Ekonom,private,0.0290697674419,37000-37999
Ekonom,private,0.0232558139535,38000-38999
Ekonom,private,0.0174418604651,39000-39999
Ekonom,private,0.0494186046512,40000-40999
Ekonom,private,0.0174418604651,41000-41999
Ekonom,private,0.0348837209302,42000-42999
Ekonom,private,0.0261627906977,43000-43999
Ekonom,private,0.0203488372093,44000-44999
Ekonom,private,0.046511627907,45000-45999
Ekonom,private,0.031976744186,46000-46999
Ekonom,private,0.0261627906977,47000-47999
Ekonom,private,0.0174418604651,48000-48999
Ekonom,private,0.0174418604651,49000-49999
Ekonom,private,0.0290697674419,50000-50999
Ekonom,private,0.0116279069767,51000-51999
Ekonom,private,0.00290697674419,52000-52999
Ekonom,private,0.0116279069767,53000-53999
Ekonom,private,0.0116279069767,54000-54999
Ekonom,private,0.00872093023256,55000-55999
Ekonom,private,0.00581395348837,56000-56999
Ekonom,private,0.0203488372093,57000-57999
Ekonom,private,0.00581395348837,58000-58999
Ekonom,private,0.0174418604651,59000-59999
Ekonom,private,0.0145348837209,60000-60999
Ekonom,private,0.00290697674419,61000-61999
Ekonom,private,0.0116279069767,62000-62999
Ekonom,private,0.00872093023256,63000-63999
Ekonom,private,0.0116279069767,64000-64999
Ekonom,private,0.0145348837209,65000-65999
Ekonom,private,0.0116279069767,67000-67999
Ekonom,private,0.00581395348837,68000-68999
Ekonom,private,0.0116279069767,69000-69999
Ekonom,private,0.0174418604651,70000-70999
Ekonom,private,0.00872093023256,71000-71999
Ekonom,private,0.00872093023256,72000-72999
Ekonom,private,0.00581395348837,73000-73999
Ekonom,private,0.0116279069767,75000-75999
Ekonom,private,0.00290697674419,76000-76999
Ekonom,private,0.00872093023256,78000-78999
Ekonom,private,0.00581395348837,79000-79999
Ekonom,private,0.00581395348837,80000-80999
Ekonom,private,0.00290697674419,83000-83999
Ekonom,private,0.00290697674419,84000-84999
Ekonom,private,0.00290697674419,87000-87999
Ekonom,private,0.00872093023256,88000-88999
Ekonom,private,0.00872093023256,90000-90999
Ekonom,private,0.00581395348837,91000-91999
Ekonom,private,0.00290697674419,92000-92999
Ekonom,private,0.00581395348837,95000-95999
Ekonom,private,0.00290697674419,101000-1019
Ekonom,private,0.00290697674419,105000-1059
Ekonom,private,0.00290697674419,109000-1099
Ekonom,private,0.0261627906977,110000-
Ekonom,private,0.0,100000-100999
Ekonom,private,0.0,98000-98999
Ekonom,private,0.0,103000-103999
Ekonom,private,0.0,86000-86999
Ekonom,private,0.0,82000-82999
Ekonom,private,0.0,85000-85999
Ekonom,private,0.0,102000-102999
Ekonom,private,0.0,99000-99999
Ekonom,private,0.0,97000-97999
Ekonom,private,0.0,74000-74999
Ekonom,private,0.0,106000-106999
Ekonom,private,0.0,77000-77999
Ekonom,private,0.0,89000-89999
Ekonom,private,0.0,66000-66999
Ekonom,private,0.0,108000-108999
Ekonom,private,0.0,104000-104999
Ekonom,private,0.0,107000-107999
Ekonom,private,0.0,81000-81999
Ekonom,private,0.0,93000-93999
Ekonom,private,0.0,96000-96999
Ekonom,private,0.0,94000-94999
