profession,publicprivate,value,income
Ekonom,public,0.015909090909,-24999
Ekonom,public,0.018181818182,25000-25999
Ekonom,public,0.040909090909,26000-26999
Ekonom,public,0.038636363636,27000-27999
Ekonom,public,0.031818181818,28000-28999
Ekonom,public,0.034090909091,29000-29999
Ekonom,public,0.018181818182,30000-30999
Ekonom,public,0.025,31000-31999
Ekonom,public,0.052272727273,32000-32999
Ekonom,public,0.047727272727,33000-33999
Ekonom,public,0.05,34000-34999
Ekonom,public,0.056818181818,35000-35999
Ekonom,public,0.040909090909,36000-36999
Ekonom,public,0.059090909091,37000-37999
Ekonom,public,0.05,38000-38999
Ekonom,public,0.027272727273,39000-39999
Ekonom,public,0.045454545455,40000-40999
Ekonom,public,0.025,41000-41999
Ekonom,public,0.025,42000-42999
Ekonom,public,0.027272727273,43000-43999
Ekonom,public,0.036363636364,44000-44999
Ekonom,public,0.011363636364,45000-45999
Ekonom,public,0.018181818182,46000-46999
Ekonom,public,0.013636363636,47000-47999
Ekonom,public,0.006818181818,48000-48999
Ekonom,public,0.022727272727,49000-49999
Ekonom,public,0.018181818182,50000-50999
Ekonom,public,0.013636363636,51000-51999
Ekonom,public,0.011363636364,52000-52999
Ekonom,public,0.015909090909,53000-53999
Ekonom,public,0.006818181818,54000-54999
Ekonom,public,0.006818181818,55000-55999
Ekonom,public,0.009090909091,56000-56999
Ekonom,public,0.006818181818,57000-57999
Ekonom,public,0.006818181818,58000-58999
Ekonom,public,0.011363636364,59000-59999
Ekonom,public,0.006818181818,60000-60999
Ekonom,public,0.002272727273,61000-61999
Ekonom,public,0.002272727273,62000-62999
Ekonom,public,0.002272727273,63000-63999
Ekonom,public,0.002272727273,65000-65999
Ekonom,public,0.004545454545,66000-66999
Ekonom,public,0.034090909091,68000-
Ekonom,public,0.0,67000-67999
Ekonom,public,0.0,64000-64999
