profession,publicprivate,value,income
personalvetare,private,0.00167504187605,25000-25999
personalvetare,private,0.00335008375209,26000-26999
personalvetare,private,0.00837520938023,27000-27999
personalvetare,private,0.0184254606365,28000-28999
personalvetare,private,0.0134003350084,29000-29999
personalvetare,private,0.0167504187605,30000-30999
personalvetare,private,0.00837520938023,31000-31999
personalvetare,private,0.0268006700168,32000-32999
personalvetare,private,0.0251256281407,33000-33999
personalvetare,private,0.0268006700168,34000-34999
personalvetare,private,0.0435510887772,35000-35999
personalvetare,private,0.036850921273,36000-36999
personalvetare,private,0.0402010050251,37000-37999
personalvetare,private,0.0251256281407,38000-38999
personalvetare,private,0.0284757118928,39000-39999
personalvetare,private,0.0452261306533,40000-40999
personalvetare,private,0.0284757118928,41000-41999
personalvetare,private,0.0418760469012,42000-42999
personalvetare,private,0.0284757118928,43000-43999
personalvetare,private,0.0167504187605,44000-44999
personalvetare,private,0.0335008375209,45000-45999
personalvetare,private,0.0301507537688,46000-46999
personalvetare,private,0.0201005025126,47000-47999
personalvetare,private,0.0301507537688,48000-48999
personalvetare,private,0.0150753768844,49000-49999
personalvetare,private,0.0469011725293,50000-50999
personalvetare,private,0.0201005025126,51000-51999
personalvetare,private,0.0167504187605,52000-52999
personalvetare,private,0.0201005025126,53000-53999
personalvetare,private,0.0150753768844,54000-54999
personalvetare,private,0.0335008375209,55000-55999
personalvetare,private,0.0100502512563,56000-56999
personalvetare,private,0.00670016750419,57000-57999
personalvetare,private,0.0201005025126,58000-58999
personalvetare,private,0.0150753768844,59000-59999
personalvetare,private,0.00502512562814,60000-60999
personalvetare,private,0.00502512562814,61000-61999
personalvetare,private,0.0117252931323,62000-62999
personalvetare,private,0.0134003350084,63000-63999
personalvetare,private,0.00502512562814,64000-64999
personalvetare,private,0.00837520938023,65000-65999
personalvetare,private,0.00502512562814,66000-66999
personalvetare,private,0.0100502512563,67000-67999
personalvetare,private,0.00837520938023,68000-68999
personalvetare,private,0.00502512562814,69000-69999
personalvetare,private,0.00837520938023,70000-70999
personalvetare,private,0.0100502512563,71000-71999
personalvetare,private,0.00335008375209,73000-73999
personalvetare,private,0.00335008375209,74000-74999
personalvetare,private,0.00502512562814,75000-75999
personalvetare,private,0.00502512562814,76000-76999
personalvetare,private,0.00335008375209,77000-77999
personalvetare,private,0.00167504187605,78000-78999
personalvetare,private,0.00335008375209,79000-79999
personalvetare,private,0.0100502512563,80000-80999
personalvetare,private,0.00167504187605,81000-81999
personalvetare,private,0.00167504187605,82000-82999
personalvetare,private,0.00167504187605,83000-83999
personalvetare,private,0.00167504187605,84000-84999
personalvetare,private,0.00167504187605,85000-85999
personalvetare,private,0.00335008375209,86000-86999
personalvetare,private,0.00167504187605,87000-87999
personalvetare,private,0.00167504187605,90000-90999
personalvetare,private,0.00335008375209,91000-91999
personalvetare,private,0.00167504187605,92000-92999
personalvetare,private,0.00167504187605,94000-94999
personalvetare,private,0.00502512562814,95000-95999
personalvetare,private,0.00167504187605,97000-97999
personalvetare,private,0.00335008375209,99000-99999
personalvetare,private,0.0201005025126,100000-
personalvetare,private,0.0,88000-88999
personalvetare,private,0.0,96000-96999
personalvetare,private,0.0,93000-93999
personalvetare,private,0.0,98000-98999
personalvetare,private,0.0,89000-89999
personalvetare,private,0.0,72000-72999
