profession,publicprivate,value,income
Personalvetare,public,0.00261780104712,-24999
Personalvetare,public,0.00261780104712,25000-25999
Personalvetare,public,0.00610820244328,26000-26999
Personalvetare,public,0.0157068062827,27000-27999
Personalvetare,public,0.020942408377,28000-28999
Personalvetare,public,0.0349040139616,29000-29999
Personalvetare,public,0.0331588132635,30000-30999
Personalvetare,public,0.0383944153578,31000-31999
Personalvetare,public,0.0488656195462,32000-32999
Personalvetare,public,0.0331588132635,33000-33999
Personalvetare,public,0.0567190226876,34000-34999
Personalvetare,public,0.0593368237347,35000-35999
Personalvetare,public,0.0549738219895,36000-36999
Personalvetare,public,0.0462478184991,37000-37999
Personalvetare,public,0.0549738219895,38000-38999
Personalvetare,public,0.0575916230366,39000-39999
Personalvetare,public,0.0549738219895,40000-40999
Personalvetare,public,0.0462478184991,41000-41999
Personalvetare,public,0.0366492146597,42000-42999
Personalvetare,public,0.0261780104712,43000-43999
Personalvetare,public,0.0314136125654,44000-44999
Personalvetare,public,0.0296684118674,45000-45999
Personalvetare,public,0.0174520069808,46000-46999
Personalvetare,public,0.022687609075,47000-47999
Personalvetare,public,0.020942408377,48000-48999
Personalvetare,public,0.0157068062827,49000-49999
Personalvetare,public,0.0139616055846,50000-50999
Personalvetare,public,0.0165794066318,51000-51999
Personalvetare,public,0.0113438045375,52000-52999
Personalvetare,public,0.00610820244328,53000-53999
Personalvetare,public,0.00785340314136,54000-54999
Personalvetare,public,0.00785340314136,55000-55999
Personalvetare,public,0.0104712041885,56000-56999
Personalvetare,public,0.0043630017452,57000-57999
Personalvetare,public,0.00523560209424,58000-58999
Personalvetare,public,0.00523560209424,59000-59999
Personalvetare,public,0.00174520069808,60000-60999
Personalvetare,public,0.00523560209424,61000-61999
Personalvetare,public,0.00349040139616,62000-62999
Personalvetare,public,0.00349040139616,63000-63999
Personalvetare,public,0.00261780104712,64000-64999
Personalvetare,public,0.0261780104712,65000-
