profession,publicprivate,value,income
Samhällsvetare,private,0.0362116991643,-24999
Samhällsvetare,private,0.0139275766017,25000-25999
Samhällsvetare,private,0.0222841225627,26000-26999
Samhällsvetare,private,0.0445682451253,27000-27999
Samhällsvetare,private,0.0389972144847,28000-28999
Samhällsvetare,private,0.050139275766,29000-29999
Samhällsvetare,private,0.0612813370474,30000-30999
Samhällsvetare,private,0.066852367688,31000-31999
Samhällsvetare,private,0.0389972144847,32000-32999
Samhällsvetare,private,0.058495821727,33000-33999
Samhällsvetare,private,0.0445682451253,34000-34999
Samhällsvetare,private,0.058495821727,35000-35999
Samhällsvetare,private,0.0473537604457,36000-36999
Samhällsvetare,private,0.033426183844,37000-37999
Samhällsvetare,private,0.058495821727,38000-38999
Samhällsvetare,private,0.0278551532033,39000-39999
Samhällsvetare,private,0.0362116991643,40000-40999
Samhällsvetare,private,0.00557103064067,41000-41999
Samhällsvetare,private,0.016713091922,42000-42999
Samhällsvetare,private,0.016713091922,43000-43999
Samhällsvetare,private,0.0111420612813,44000-44999
Samhällsvetare,private,0.016713091922,45000-45999
Samhällsvetare,private,0.016713091922,46000-46999
Samhällsvetare,private,0.0194986072423,47000-47999
Samhällsvetare,private,0.016713091922,48000-48999
Samhällsvetare,private,0.016713091922,49000-49999
Samhällsvetare,private,0.0194986072423,50000-50999
Samhällsvetare,private,0.0194986072423,51000-51999
Samhällsvetare,private,0.00557103064067,53000-53999
Samhällsvetare,private,0.008356545961,54000-54999
Samhällsvetare,private,0.00557103064067,55000-55999
Samhällsvetare,private,0.0111420612813,56000-56999
Samhällsvetare,private,0.00557103064067,57000-57999
Samhällsvetare,private,0.00278551532033,58000-58999
Samhällsvetare,private,0.00278551532033,59000-59999
Samhällsvetare,private,0.00278551532033,60000-60999
Samhällsvetare,private,0.00557103064067,62000-62999
Samhällsvetare,private,0.00557103064067,63000-63999
Samhällsvetare,private,0.0306406685237,64000-
Samhällsvetare,private,0.0,52000-52999
Samhällsvetare,private,0.0,61000-61999
