profession,publicprivate,value,income
Samhällsvetare,public,0.0293333333333,-25999
Samhällsvetare,public,0.0253333333333,26000-26999
Samhällsvetare,public,0.0593333333333,27000-27999
Samhällsvetare,public,0.0726666666667,28000-28999
Samhällsvetare,public,0.064,29000-29999
Samhällsvetare,public,0.064,30000-30999
Samhällsvetare,public,0.052,31000-31999
Samhällsvetare,public,0.048,32000-32999
Samhällsvetare,public,0.0526666666667,33000-33999
Samhällsvetare,public,0.048,34000-34999
Samhällsvetare,public,0.0546666666667,35000-35999
Samhällsvetare,public,0.0526666666667,36000-36999
Samhällsvetare,public,0.0433333333333,37000-37999
Samhällsvetare,public,0.038,38000-38999
Samhällsvetare,public,0.0346666666667,39000-39999
Samhällsvetare,public,0.042,40000-40999
Samhällsvetare,public,0.032,41000-41999
Samhällsvetare,public,0.0306666666667,42000-42999
Samhällsvetare,public,0.0193333333333,43000-43999
Samhällsvetare,public,0.0146666666667,44000-44999
Samhällsvetare,public,0.0153333333333,45000-45999
Samhällsvetare,public,0.00933333333333,46000-46999
Samhällsvetare,public,0.0126666666667,47000-47999
Samhällsvetare,public,0.0133333333333,48000-48999
Samhällsvetare,public,0.00733333333333,49000-49999
Samhällsvetare,public,0.00533333333333,50000-50999
Samhällsvetare,public,0.00666666666667,51000-51999
Samhällsvetare,public,0.00266666666667,52000-52999
Samhällsvetare,public,0.00466666666667,53000-53999
Samhällsvetare,public,0.006,54000-54999
Samhällsvetare,public,0.00333333333333,55000-55999
Samhällsvetare,public,0.002,56000-56999
Samhällsvetare,public,0.00266666666667,57000-57999
Samhällsvetare,public,0.0313333333333,58000-
