profession,publicprivate,value,income
Socionom,private,0.00934579439252,-24999
Socionom,private,0.00373831775701,25000-25999
Socionom,private,0.00280373831776,26000-26999
Socionom,private,0.0140186915888,27000-27999
Socionom,private,0.0205607476636,28000-28999
Socionom,private,0.0214953271028,29000-29999
Socionom,private,0.0327102803738,30000-30999
Socionom,private,0.0327102803738,31000-31999
Socionom,private,0.0401869158879,32000-32999
Socionom,private,0.0514018691589,33000-33999
Socionom,private,0.0570093457944,34000-34999
Socionom,private,0.0616822429907,35000-35999
Socionom,private,0.0654205607477,36000-36999
Socionom,private,0.0598130841121,37000-37999
Socionom,private,0.0607476635514,38000-38999
Socionom,private,0.0523364485981,39000-39999
Socionom,private,0.0626168224299,40000-40999
Socionom,private,0.0317757009346,41000-41999
Socionom,private,0.0392523364486,42000-42999
Socionom,private,0.0327102803738,43000-43999
Socionom,private,0.0308411214953,44000-44999
Socionom,private,0.0383177570093,45000-45999
Socionom,private,0.0214953271028,46000-46999
Socionom,private,0.0224299065421,47000-47999
Socionom,private,0.00934579439252,48000-48999
Socionom,private,0.00934579439252,49000-49999
Socionom,private,0.0242990654206,50000-50999
Socionom,private,0.00934579439252,51000-51999
Socionom,private,0.00747663551402,52000-52999
Socionom,private,0.00841121495327,53000-53999
Socionom,private,0.00560747663551,54000-54999
Socionom,private,0.00373831775701,55000-55999
Socionom,private,0.00560747663551,56000-56999
Socionom,private,0.00747663551402,57000-57999
Socionom,private,0.00747663551402,58000-58999
Socionom,private,0.000934579439252,59000-59999
Socionom,private,0.00654205607477,60000-60999
Socionom,private,0.0018691588785,61000-61999
Socionom,private,0.00280373831776,62000-62999
Socionom,private,0.000934579439252,63000-63999
Socionom,private,0.0018691588785,64000-64999
Socionom,private,0.0214953271028,65000-
