profession,publicprivate,value,income
socionom,public,0.00231402125471,-24999
socionom,public,0.00119986287281,25000-25999
socionom,public,0.0033424751457,26000-26999
socionom,public,0.00959890298252,27000-27999
socionom,public,0.0189406924923,28000-28999
socionom,public,0.0300822763113,29000-29999
socionom,public,0.0439664038396,30000-30999
socionom,public,0.0532224888584,31000-31999
socionom,public,0.0715632499143,32000-32999
socionom,public,0.0822763112787,33000-33999
socionom,public,0.0893040795338,34000-34999
socionom,public,0.0915323962976,35000-35999
socionom,public,0.080990743915,36000-36999
socionom,public,0.0713061364415,37000-37999
socionom,public,0.0641926636956,38000-38999
socionom,public,0.050651354131,39000-39999
socionom,public,0.0401954062393,40000-40999
socionom,public,0.0330819334933,41000-41999
socionom,public,0.0278539595475,42000-42999
socionom,public,0.0214261227288,43000-43999
socionom,public,0.0166266712376,44000-44999
socionom,public,0.0146554679465,45000-45999
socionom,public,0.0126842646555,46000-46999
socionom,public,0.0107130613644,47000-47999
socionom,public,0.0104559478917,48000-48999
socionom,public,0.00599931436407,49000-49999
socionom,public,0.00599931436407,50000-50999
socionom,public,0.00411381556394,51000-51999
socionom,public,0.00342817963661,52000-52999
socionom,public,0.00317106616387,53000-53999
socionom,public,0.00282824820021,54000-54999
socionom,public,0.022283167638,55000-
