profession,publicprivate,value,income
Systemvetare,public,0.0217534607779,-27999
Systemvetare,public,0.0158206987475,28000-28999
Systemvetare,public,0.0151615029664,29000-29999
Systemvetare,public,0.0250494396836,30000-30999
Systemvetare,public,0.0145023071852,31000-31999
Systemvetare,public,0.0303230059328,32000-32999
Systemvetare,public,0.0336189848385,33000-33999
Systemvetare,public,0.0441661173368,34000-34999
Systemvetare,public,0.0323005932762,35000-35999
Systemvetare,public,0.0415293342123,36000-36999
Systemvetare,public,0.0507580751483,37000-37999
Systemvetare,public,0.0474620962426,38000-38999
Systemvetare,public,0.0527356624918,39000-39999
Systemvetare,public,0.0500988793672,40000-40999
Systemvetare,public,0.0514172709295,41000-41999
Systemvetare,public,0.062623599209,42000-42999
Systemvetare,public,0.0454845088991,43000-43999
Systemvetare,public,0.0369149637442,44000-44999
Systemvetare,public,0.0428477257746,45000-45999
Systemvetare,public,0.0355965721819,46000-46999
Systemvetare,public,0.0283454185893,47000-47999
Systemvetare,public,0.0263678312459,48000-48999
Systemvetare,public,0.0210942649967,49000-49999
Systemvetare,public,0.0263678312459,50000-50999
Systemvetare,public,0.0164798945287,51000-51999
Systemvetare,public,0.0184574818721,52000-52999
Systemvetare,public,0.0145023071852,53000-53999
Systemvetare,public,0.0158206987475,54000-54999
Systemvetare,public,0.00988793671721,55000-55999
Systemvetare,public,0.00856954515491,56000-56999
Systemvetare,public,0.00527356624918,57000-57999
Systemvetare,public,0.00395517468688,58000-58999
Systemvetare,public,0.00659195781147,59000-59999
Systemvetare,public,0.00725115359262,60000-60999
Systemvetare,public,0.00593276203032,61000-61999
Systemvetare,public,0.00131839156229,62000-62999
Systemvetare,public,0.00131839156229,63000-63999
Systemvetare,public,0.000659195781147,64000-64999
Systemvetare,public,0.000659195781147,65000-65999
Systemvetare,public,0.0309822017139,66000-
