percentile,profession,publicprivate,income
3,Agronom,public,26000
4,Agronom,public,26300
5,Agronom,public,27000
6,Agronom,public,27400
7,Agronom,public,27500
8,Agronom,public,27700
9,Agronom,public,28000
10,Agronom,public,28350
11,Agronom,public,28600
12,Agronom,public,28800
13,Agronom,public,29000
14,Agronom,public,29200
15,Agronom,public,29500
16,Agronom,public,29700
17,Agronom,public,29900
18,Agronom,public,30100
19,Agronom,public,30500
20,Agronom,public,30908
21,Agronom,public,31000
22,Agronom,public,31100
23,Agronom,public,31325
24,Agronom,public,31700
25,Agronom,public,31800
26,Agronom,public,32000
27,Agronom,public,32100
28,Agronom,public,32200
29,Agronom,public,32400
30,Agronom,public,32600
31,Agronom,public,32700
32,Agronom,public,33000
34,Agronom,public,33200
36,Agronom,public,33500
37,Agronom,public,33900
38,Agronom,public,34000
39,Agronom,public,34200
40,Agronom,public,34300
41,Agronom,public,34500
43,Agronom,public,34700
44,Agronom,public,34900
45,Agronom,public,35000
47,Agronom,public,35200
48,Agronom,public,35800
49,Agronom,public,36000
50,Agronom,public,36300
51,Agronom,public,36400
52,Agronom,public,36500
53,Agronom,public,36700
54,Agronom,public,37000
56,Agronom,public,37175
57,Agronom,public,37600
58,Agronom,public,38000
59,Agronom,public,38100
60,Agronom,public,38500
61,Agronom,public,38900
62,Agronom,public,39200
63,Agronom,public,39570
64,Agronom,public,40000
65,Agronom,public,40100
66,Agronom,public,40300
67,Agronom,public,40500
68,Agronom,public,41000
69,Agronom,public,41100
70,Agronom,public,41500
71,Agronom,public,41800
72,Agronom,public,42000
73,Agronom,public,42200
74,Agronom,public,42400
75,Agronom,public,42650
76,Agronom,public,43000
77,Agronom,public,43100
78,Agronom,public,43440
79,Agronom,public,43800
80,Agronom,public,44000
81,Agronom,public,44600
82,Agronom,public,45200
83,Agronom,public,45600
84,Agronom,public,45900
85,Agronom,public,46200
86,Agronom,public,47100
87,Agronom,public,47700
88,Agronom,public,48500
89,Agronom,public,49200
90,Agronom,public,50000
91,Agronom,public,50700
92,Agronom,public,51500
93,Agronom,public,53100
94,Agronom,public,54000
95,Agronom,public,55600
96,Agronom,public,57000
97,Agronom,public,59500
