percentile,profession,publicprivate,income
3,Ekonom,private,28281
4,Ekonom,private,29000
5,Ekonom,private,30000
6,Ekonom,private,31000
7,Ekonom,private,32000
8,Ekonom,private,32500
9,Ekonom,private,33000
10,Ekonom,private,33900
11,Ekonom,private,34500
12,Ekonom,private,35000
13,Ekonom,private,35900
14,Ekonom,private,36300
15,Ekonom,private,37000
16,Ekonom,private,37443
17,Ekonom,private,38000
18,Ekonom,private,38500
19,Ekonom,private,39000
20,Ekonom,private,39500
21,Ekonom,private,40000
22,Ekonom,private,40312
23,Ekonom,private,41000
24,Ekonom,private,41400
25,Ekonom,private,42000
26,Ekonom,private,42500
27,Ekonom,private,43000
28,Ekonom,private,43400
29,Ekonom,private,44000
30,Ekonom,private,44400
31,Ekonom,private,45000
33,Ekonom,private,45500
34,Ekonom,private,46000
35,Ekonom,private,46350
36,Ekonom,private,46862
37,Ekonom,private,47150
38,Ekonom,private,47700
39,Ekonom,private,48000
40,Ekonom,private,48500
41,Ekonom,private,49000
42,Ekonom,private,49500
43,Ekonom,private,50000
45,Ekonom,private,50500
46,Ekonom,private,51000
47,Ekonom,private,51400
48,Ekonom,private,52000
49,Ekonom,private,52202
50,Ekonom,private,52936
51,Ekonom,private,53300
52,Ekonom,private,53962
53,Ekonom,private,54402
54,Ekonom,private,55000
55,Ekonom,private,55300
56,Ekonom,private,55900
57,Ekonom,private,56250
58,Ekonom,private,56985
59,Ekonom,private,57400
60,Ekonom,private,58000
61,Ekonom,private,58600
62,Ekonom,private,59334
63,Ekonom,private,60000
64,Ekonom,private,60300
65,Ekonom,private,61000
66,Ekonom,private,61533
67,Ekonom,private,62200
68,Ekonom,private,63000
69,Ekonom,private,63862
70,Ekonom,private,64500
71,Ekonom,private,65000
72,Ekonom,private,65862
73,Ekonom,private,66762
74,Ekonom,private,67500
75,Ekonom,private,68500
76,Ekonom,private,69662
77,Ekonom,private,70000
78,Ekonom,private,71032
79,Ekonom,private,72000
80,Ekonom,private,73483
81,Ekonom,private,74827
82,Ekonom,private,75500
83,Ekonom,private,76800
84,Ekonom,private,78025
85,Ekonom,private,79562
86,Ekonom,private,80600
87,Ekonom,private,82264
88,Ekonom,private,84120
89,Ekonom,private,86124
90,Ekonom,private,89000
91,Ekonom,private,91620
92,Ekonom,private,95000
93,Ekonom,private,98010
94,Ekonom,private,101915
95,Ekonom,private,107000
96,Ekonom,private,113500
97,Ekonom,private,125500
