percentile,profession,publicprivate,income
3,Ekonom,public,29400
4,Ekonom,public,30000
5,Ekonom,public,30700
6,Ekonom,public,31200
7,Ekonom,public,31952
8,Ekonom,public,32450
9,Ekonom,public,32900
10,Ekonom,public,33300
11,Ekonom,public,33800
12,Ekonom,public,34100
13,Ekonom,public,34500
14,Ekonom,public,35000
15,Ekonom,public,35050
16,Ekonom,public,35500
17,Ekonom,public,35900
18,Ekonom,public,36200
19,Ekonom,public,36500
20,Ekonom,public,36900
21,Ekonom,public,37200
22,Ekonom,public,37600
23,Ekonom,public,37900
24,Ekonom,public,38025
25,Ekonom,public,38400
26,Ekonom,public,38600
27,Ekonom,public,38900
28,Ekonom,public,39000
29,Ekonom,public,39400
30,Ekonom,public,39750
31,Ekonom,public,40000
32,Ekonom,public,40150
33,Ekonom,public,40500
34,Ekonom,public,40800
35,Ekonom,public,41000
36,Ekonom,public,41250
37,Ekonom,public,41550
38,Ekonom,public,41800
39,Ekonom,public,42000
40,Ekonom,public,42250
41,Ekonom,public,42500
42,Ekonom,public,42900
43,Ekonom,public,43000
44,Ekonom,public,43200
45,Ekonom,public,43500
46,Ekonom,public,43800
47,Ekonom,public,44000
48,Ekonom,public,44300
49,Ekonom,public,44600
50,Ekonom,public,45000
52,Ekonom,public,45350
53,Ekonom,public,45700
54,Ekonom,public,46000
55,Ekonom,public,46100
56,Ekonom,public,46500
57,Ekonom,public,46900
58,Ekonom,public,47000
59,Ekonom,public,47300
60,Ekonom,public,47700
61,Ekonom,public,48000
62,Ekonom,public,48400
63,Ekonom,public,48800
64,Ekonom,public,49000
65,Ekonom,public,49500
66,Ekonom,public,49900
67,Ekonom,public,50000
68,Ekonom,public,50300
69,Ekonom,public,50845
70,Ekonom,public,51100
71,Ekonom,public,51500
72,Ekonom,public,52000
73,Ekonom,public,52500
74,Ekonom,public,53000
75,Ekonom,public,53500
76,Ekonom,public,54000
77,Ekonom,public,54300
78,Ekonom,public,54900
79,Ekonom,public,55300
80,Ekonom,public,56000
81,Ekonom,public,56700
82,Ekonom,public,57200
83,Ekonom,public,58000
84,Ekonom,public,59000
85,Ekonom,public,60000
86,Ekonom,public,60500
87,Ekonom,public,61500
88,Ekonom,public,62600
89,Ekonom,public,63750
90,Ekonom,public,64900
91,Ekonom,public,66000
92,Ekonom,public,67600
93,Ekonom,public,69500
94,Ekonom,public,71900
95,Ekonom,public,74400
96,Ekonom,public,77362
97,Ekonom,public,81000
