percentile,profession,publicprivate,income
3,Jurist,private,29000
4,Jurist,private,29760
5,Jurist,private,30000
6,Jurist,private,30990
7,Jurist,private,31000
8,Jurist,private,32000
9,Jurist,private,32267
10,Jurist,private,33000
11,Jurist,private,33300
12,Jurist,private,34000
13,Jurist,private,34375
14,Jurist,private,35000
16,Jurist,private,35500
17,Jurist,private,36000
18,Jurist,private,36500
19,Jurist,private,37000
20,Jurist,private,37400
21,Jurist,private,38000
22,Jurist,private,38398
23,Jurist,private,38922
24,Jurist,private,39800
25,Jurist,private,40000
26,Jurist,private,40200
27,Jurist,private,41000
28,Jurist,private,41400
29,Jurist,private,42000
30,Jurist,private,42320
31,Jurist,private,43000
32,Jurist,private,43300
33,Jurist,private,44000
34,Jurist,private,44650
35,Jurist,private,45000
36,Jurist,private,45500
37,Jurist,private,46000
38,Jurist,private,46720
39,Jurist,private,47000
40,Jurist,private,47727
41,Jurist,private,48000
42,Jurist,private,48840
43,Jurist,private,49300
44,Jurist,private,50000
46,Jurist,private,50800
47,Jurist,private,51300
48,Jurist,private,51950
49,Jurist,private,52333
50,Jurist,private,53000
51,Jurist,private,53500
52,Jurist,private,54525
53,Jurist,private,55000
54,Jurist,private,55500
55,Jurist,private,56200
56,Jurist,private,57000
57,Jurist,private,57400
58,Jurist,private,58000
59,Jurist,private,59000
60,Jurist,private,60000
62,Jurist,private,60900
63,Jurist,private,61500
64,Jurist,private,62000
65,Jurist,private,63000
66,Jurist,private,64000
67,Jurist,private,65000
68,Jurist,private,65500
69,Jurist,private,66500
70,Jurist,private,67000
71,Jurist,private,68000
72,Jurist,private,69000
73,Jurist,private,70000
74,Jurist,private,70800
75,Jurist,private,71656
76,Jurist,private,72500
77,Jurist,private,73700
78,Jurist,private,74900
79,Jurist,private,75000
80,Jurist,private,76370
81,Jurist,private,77625
82,Jurist,private,78533
83,Jurist,private,80000
84,Jurist,private,80500
85,Jurist,private,82000
86,Jurist,private,83200
87,Jurist,private,85000
88,Jurist,private,86362
89,Jurist,private,89800
90,Jurist,private,91500
91,Jurist,private,94000
92,Jurist,private,96800
93,Jurist,private,100700
94,Jurist,private,105000
95,Jurist,private,108500
96,Jurist,private,115000
97,Jurist,private,122000
