percentile,profession,publicprivate,income
3,Personalvetare,public,29000
4,Personalvetare,public,29400
5,Personalvetare,public,29900
6,Personalvetare,public,30150
7,Personalvetare,public,30700
8,Personalvetare,public,31000
9,Personalvetare,public,31100
10,Personalvetare,public,31500
11,Personalvetare,public,31800
12,Personalvetare,public,32000
13,Personalvetare,public,32200
14,Personalvetare,public,32700
15,Personalvetare,public,33000
16,Personalvetare,public,33100
17,Personalvetare,public,33500
18,Personalvetare,public,33900
19,Personalvetare,public,34100
20,Personalvetare,public,34500
21,Personalvetare,public,34600
22,Personalvetare,public,35000
24,Personalvetare,public,35100
25,Personalvetare,public,35478
26,Personalvetare,public,35600
27,Personalvetare,public,36000
29,Personalvetare,public,36200
30,Personalvetare,public,36500
31,Personalvetare,public,36900
32,Personalvetare,public,37000
34,Personalvetare,public,37400
35,Personalvetare,public,37700
36,Personalvetare,public,38000
38,Personalvetare,public,38300
39,Personalvetare,public,38500
40,Personalvetare,public,38700
41,Personalvetare,public,38950
42,Personalvetare,public,39000
43,Personalvetare,public,39231
44,Personalvetare,public,39500
45,Personalvetare,public,39900
46,Personalvetare,public,40000
48,Personalvetare,public,40100
49,Personalvetare,public,40400
50,Personalvetare,public,40600
51,Personalvetare,public,40800
52,Personalvetare,public,41000
53,Personalvetare,public,41200
54,Personalvetare,public,41350
55,Personalvetare,public,41700
56,Personalvetare,public,41900
57,Personalvetare,public,42000
58,Personalvetare,public,42400
59,Personalvetare,public,42500
60,Personalvetare,public,43000
61,Personalvetare,public,43300
62,Personalvetare,public,43500
63,Personalvetare,public,43900
64,Personalvetare,public,44000
65,Personalvetare,public,44300
66,Personalvetare,public,44500
67,Personalvetare,public,44700
68,Personalvetare,public,45000
69,Personalvetare,public,45500
70,Personalvetare,public,45900
71,Personalvetare,public,46100
72,Personalvetare,public,46500
73,Personalvetare,public,46900
74,Personalvetare,public,47100
75,Personalvetare,public,47500
76,Personalvetare,public,47900
77,Personalvetare,public,48000
78,Personalvetare,public,49000
79,Personalvetare,public,49300
80,Personalvetare,public,50000
82,Personalvetare,public,50500
83,Personalvetare,public,51000
84,Personalvetare,public,51700
85,Personalvetare,public,52500
86,Personalvetare,public,53400
87,Personalvetare,public,54000
88,Personalvetare,public,55300
89,Personalvetare,public,56100
90,Personalvetare,public,57000
91,Personalvetare,public,58125
92,Personalvetare,public,59200
93,Personalvetare,public,61300
94,Personalvetare,public,62700
95,Personalvetare,public,64900
96,Personalvetare,public,67024
97,Personalvetare,public,70000
