percentile,profession,publicprivate,income
3,Samhällsvetare,public,28500
4,Samhällsvetare,public,29000
5,Samhällsvetare,public,29500
6,Samhällsvetare,public,30000
7,Samhällsvetare,public,30300
8,Samhällsvetare,public,30900
9,Samhällsvetare,public,31200
10,Samhällsvetare,public,31570
11,Samhällsvetare,public,32000
12,Samhällsvetare,public,32300
13,Samhällsvetare,public,32650
14,Samhällsvetare,public,33000
15,Samhällsvetare,public,33400
16,Samhällsvetare,public,33800
17,Samhällsvetare,public,34000
18,Samhällsvetare,public,34400
19,Samhällsvetare,public,34700
20,Samhällsvetare,public,35000
21,Samhällsvetare,public,35100
22,Samhällsvetare,public,35500
23,Samhällsvetare,public,35900
24,Samhällsvetare,public,36000
25,Samhällsvetare,public,36400
26,Samhällsvetare,public,36600
27,Samhällsvetare,public,36900
28,Samhällsvetare,public,37000
29,Samhällsvetare,public,37500
30,Samhällsvetare,public,37750
31,Samhällsvetare,public,38000
32,Samhällsvetare,public,38300
33,Samhällsvetare,public,38550
34,Samhällsvetare,public,38800
35,Samhällsvetare,public,39000
36,Samhällsvetare,public,39300
37,Samhällsvetare,public,39500
38,Samhällsvetare,public,39850
39,Samhällsvetare,public,40000
40,Samhällsvetare,public,40200
41,Samhällsvetare,public,40500
42,Samhällsvetare,public,40700
43,Samhällsvetare,public,41000
44,Samhällsvetare,public,41013
45,Samhällsvetare,public,41400
46,Samhällsvetare,public,41600
47,Samhällsvetare,public,42000
48,Samhällsvetare,public,42100
49,Samhällsvetare,public,42500
50,Samhällsvetare,public,42700
51,Samhällsvetare,public,43000
52,Samhällsvetare,public,43100
53,Samhällsvetare,public,43400
54,Samhällsvetare,public,43600
55,Samhällsvetare,public,44000
57,Samhällsvetare,public,44430
58,Samhällsvetare,public,44700
59,Samhällsvetare,public,45000
61,Samhällsvetare,public,45300
62,Samhällsvetare,public,45500
63,Samhällsvetare,public,46000
64,Samhällsvetare,public,46100
65,Samhällsvetare,public,46500
66,Samhällsvetare,public,46700
67,Samhällsvetare,public,47000
68,Samhällsvetare,public,47100
69,Samhällsvetare,public,47500
70,Samhällsvetare,public,47900
71,Samhällsvetare,public,48000
72,Samhällsvetare,public,48400
73,Samhällsvetare,public,48700
74,Samhällsvetare,public,49000
75,Samhällsvetare,public,49300
76,Samhällsvetare,public,49800
77,Samhällsvetare,public,50000
78,Samhällsvetare,public,50400
79,Samhällsvetare,public,51000
80,Samhällsvetare,public,51400
81,Samhällsvetare,public,52000
82,Samhällsvetare,public,52800
83,Samhällsvetare,public,53100
84,Samhällsvetare,public,54000
85,Samhällsvetare,public,54500
86,Samhällsvetare,public,55100
87,Samhällsvetare,public,56000
88,Samhällsvetare,public,56800
89,Samhällsvetare,public,57600
90,Samhällsvetare,public,59000
91,Samhällsvetare,public,60000
92,Samhällsvetare,public,61550
93,Samhällsvetare,public,63000
94,Samhällsvetare,public,64500
95,Samhällsvetare,public,66000
96,Samhällsvetare,public,68500
97,Samhällsvetare,public,72000
