percentile,profession,publicprivate,income
3,Systemvetare,private,30800
4,Systemvetare,private,32000
5,Systemvetare,private,32600
6,Systemvetare,private,33361
7,Systemvetare,private,34000
8,Systemvetare,private,34764
9,Systemvetare,private,35000
10,Systemvetare,private,36000
11,Systemvetare,private,36700
12,Systemvetare,private,37000
13,Systemvetare,private,38000
14,Systemvetare,private,38500
15,Systemvetare,private,39100
16,Systemvetare,private,39700
17,Systemvetare,private,40000
18,Systemvetare,private,40200
19,Systemvetare,private,40800
20,Systemvetare,private,41100
21,Systemvetare,private,41700
22,Systemvetare,private,42000
23,Systemvetare,private,42500
24,Systemvetare,private,43000
26,Systemvetare,private,43400
27,Systemvetare,private,44000
28,Systemvetare,private,44192
29,Systemvetare,private,44600
30,Systemvetare,private,45000
32,Systemvetare,private,45370
33,Systemvetare,private,45696
34,Systemvetare,private,46000
35,Systemvetare,private,46250
36,Systemvetare,private,46700
37,Systemvetare,private,47000
38,Systemvetare,private,47200
39,Systemvetare,private,47562
40,Systemvetare,private,47950
41,Systemvetare,private,48000
42,Systemvetare,private,48300
43,Systemvetare,private,48750
44,Systemvetare,private,49000
45,Systemvetare,private,49300
46,Systemvetare,private,49540
47,Systemvetare,private,50000
49,Systemvetare,private,50245
50,Systemvetare,private,50659
51,Systemvetare,private,51000
52,Systemvetare,private,51181
53,Systemvetare,private,51500
54,Systemvetare,private,51750
55,Systemvetare,private,52000
56,Systemvetare,private,52257
57,Systemvetare,private,52600
58,Systemvetare,private,53000
59,Systemvetare,private,53244
60,Systemvetare,private,53750
61,Systemvetare,private,54000
62,Systemvetare,private,54200
63,Systemvetare,private,54700
64,Systemvetare,private,55000
66,Systemvetare,private,55800
67,Systemvetare,private,56000
68,Systemvetare,private,56300
69,Systemvetare,private,57000
70,Systemvetare,private,57400
71,Systemvetare,private,58000
72,Systemvetare,private,58374
73,Systemvetare,private,59000
74,Systemvetare,private,59500
75,Systemvetare,private,60000
77,Systemvetare,private,60662
78,Systemvetare,private,61000
79,Systemvetare,private,61948
80,Systemvetare,private,62500
81,Systemvetare,private,63000
82,Systemvetare,private,63500
83,Systemvetare,private,64500
84,Systemvetare,private,65000
85,Systemvetare,private,65954
86,Systemvetare,private,66500
87,Systemvetare,private,67500
88,Systemvetare,private,68500
89,Systemvetare,private,69815
90,Systemvetare,private,70600
91,Systemvetare,private,72000
92,Systemvetare,private,73350
93,Systemvetare,private,75096
94,Systemvetare,private,78303
95,Systemvetare,private,81500
96,Systemvetare,private,85500
97,Systemvetare,private,90500
