percentile,profession,publicprivate,income
3,Systemvetare,public,30800
4,Systemvetare,public,31500
5,Systemvetare,public,32110
6,Systemvetare,public,32650
7,Systemvetare,public,33100
8,Systemvetare,public,33900
9,Systemvetare,public,34350
10,Systemvetare,public,34800
11,Systemvetare,public,35400
12,Systemvetare,public,35800
13,Systemvetare,public,36000
14,Systemvetare,public,36450
15,Systemvetare,public,36700
16,Systemvetare,public,37100
17,Systemvetare,public,37430
18,Systemvetare,public,37750
19,Systemvetare,public,38000
20,Systemvetare,public,38350
21,Systemvetare,public,38600
22,Systemvetare,public,39000
23,Systemvetare,public,39200
24,Systemvetare,public,39500
25,Systemvetare,public,39700
26,Systemvetare,public,39900
27,Systemvetare,public,40000
28,Systemvetare,public,40300
29,Systemvetare,public,40500
30,Systemvetare,public,40800
31,Systemvetare,public,41000
32,Systemvetare,public,41100
33,Systemvetare,public,41500
34,Systemvetare,public,41780
35,Systemvetare,public,42000
36,Systemvetare,public,42300
37,Systemvetare,public,42500
38,Systemvetare,public,42800
39,Systemvetare,public,43000
40,Systemvetare,public,43350
41,Systemvetare,public,43600
42,Systemvetare,public,43800
43,Systemvetare,public,44000
44,Systemvetare,public,44300
45,Systemvetare,public,44500
46,Systemvetare,public,44800
47,Systemvetare,public,45000
49,Systemvetare,public,45100
50,Systemvetare,public,45350
51,Systemvetare,public,45600
52,Systemvetare,public,45900
53,Systemvetare,public,46000
55,Systemvetare,public,46300
56,Systemvetare,public,46500
57,Systemvetare,public,46800
58,Systemvetare,public,47000
59,Systemvetare,public,47100
60,Systemvetare,public,47350
61,Systemvetare,public,47800
62,Systemvetare,public,48000
63,Systemvetare,public,48100
64,Systemvetare,public,48300
65,Systemvetare,public,48580
66,Systemvetare,public,49000
68,Systemvetare,public,49300
69,Systemvetare,public,49600
70,Systemvetare,public,49900
71,Systemvetare,public,50000
72,Systemvetare,public,50200
73,Systemvetare,public,50500
74,Systemvetare,public,50900
75,Systemvetare,public,51000
76,Systemvetare,public,51300
77,Systemvetare,public,51800
78,Systemvetare,public,52000
79,Systemvetare,public,52900
80,Systemvetare,public,53000
81,Systemvetare,public,53200
82,Systemvetare,public,53800
83,Systemvetare,public,54000
84,Systemvetare,public,54700
85,Systemvetare,public,55000
86,Systemvetare,public,55650
87,Systemvetare,public,56100
88,Systemvetare,public,56700
89,Systemvetare,public,57200
90,Systemvetare,public,58000
91,Systemvetare,public,59000
92,Systemvetare,public,60000
93,Systemvetare,public,61000
94,Systemvetare,public,62500
95,Systemvetare,public,63900
96,Systemvetare,public,65500
97,Systemvetare,public,68400
