percentile,profession,publicprivate,income
3,Arkitekt,public,30000
4,Arkitekt,public,30500
5,Arkitekt,public,30800
6,Arkitekt,public,31200
7,Arkitekt,public,31500
8,Arkitekt,public,31800
9,Arkitekt,public,32000
11,Arkitekt,public,32400
12,Arkitekt,public,32600
13,Arkitekt,public,33000
14,Arkitekt,public,33040
15,Arkitekt,public,33450
16,Arkitekt,public,33700
17,Arkitekt,public,33900
18,Arkitekt,public,34000
19,Arkitekt,public,34400
20,Arkitekt,public,34600
21,Arkitekt,public,34900
22,Arkitekt,public,35000
23,Arkitekt,public,35050
24,Arkitekt,public,35300
25,Arkitekt,public,35500
26,Arkitekt,public,35700
27,Arkitekt,public,35900
28,Arkitekt,public,36000
29,Arkitekt,public,36100
30,Arkitekt,public,36400
31,Arkitekt,public,36550
32,Arkitekt,public,36700
33,Arkitekt,public,36900
34,Arkitekt,public,37000
35,Arkitekt,public,37400
36,Arkitekt,public,37500
37,Arkitekt,public,37740
38,Arkitekt,public,38000
40,Arkitekt,public,38200
41,Arkitekt,public,38400
42,Arkitekt,public,38550
43,Arkitekt,public,38750
44,Arkitekt,public,38900
45,Arkitekt,public,39000
46,Arkitekt,public,39200
47,Arkitekt,public,39500
48,Arkitekt,public,39750
49,Arkitekt,public,40000
51,Arkitekt,public,40100
52,Arkitekt,public,40300
53,Arkitekt,public,40500
54,Arkitekt,public,40800
55,Arkitekt,public,41000
56,Arkitekt,public,41200
57,Arkitekt,public,41500
58,Arkitekt,public,41800
59,Arkitekt,public,42000
61,Arkitekt,public,42200
62,Arkitekt,public,42500
63,Arkitekt,public,43000
64,Arkitekt,public,43100
65,Arkitekt,public,43500
66,Arkitekt,public,43800
67,Arkitekt,public,44000
68,Arkitekt,public,44300
69,Arkitekt,public,44600
70,Arkitekt,public,45000
71,Arkitekt,public,45100
72,Arkitekt,public,45500
73,Arkitekt,public,46000
74,Arkitekt,public,46200
75,Arkitekt,public,46500
76,Arkitekt,public,47000
77,Arkitekt,public,47200
78,Arkitekt,public,47600
79,Arkitekt,public,48000
80,Arkitekt,public,48400
81,Arkitekt,public,48900
82,Arkitekt,public,49000
83,Arkitekt,public,49800
84,Arkitekt,public,50100
85,Arkitekt,public,51000
86,Arkitekt,public,51500
87,Arkitekt,public,52200
88,Arkitekt,public,53000
89,Arkitekt,public,54200
90,Arkitekt,public,55000
91,Arkitekt,public,56000
92,Arkitekt,public,56800
93,Arkitekt,public,57550
94,Arkitekt,public,59500
95,Arkitekt,public,62000
96,Arkitekt,public,64000
97,Arkitekt,public,67400
