percentile,profession,publicprivate,income
3,Beteendevetare,private,24000
5,Beteendevetare,private,24800
6,Beteendevetare,private,25655
7,Beteendevetare,private,26000
9,Beteendevetare,private,26300
10,Beteendevetare,private,26500
11,Beteendevetare,private,27000
13,Beteendevetare,private,27100
14,Beteendevetare,private,27500
15,Beteendevetare,private,27791
16,Beteendevetare,private,28000
18,Beteendevetare,private,28300
19,Beteendevetare,private,28500
20,Beteendevetare,private,28600
21,Beteendevetare,private,28740
22,Beteendevetare,private,29000
25,Beteendevetare,private,29066
26,Beteendevetare,private,29300
27,Beteendevetare,private,29590
28,Beteendevetare,private,29774
29,Beteendevetare,private,30000
31,Beteendevetare,private,30180
32,Beteendevetare,private,30400
33,Beteendevetare,private,30600
34,Beteendevetare,private,30774
35,Beteendevetare,private,31000
37,Beteendevetare,private,31200
38,Beteendevetare,private,31616
39,Beteendevetare,private,32000
42,Beteendevetare,private,32200
43,Beteendevetare,private,32500
44,Beteendevetare,private,32735
45,Beteendevetare,private,32800
46,Beteendevetare,private,33000
48,Beteendevetare,private,33500
49,Beteendevetare,private,33700
50,Beteendevetare,private,33974
51,Beteendevetare,private,34000
52,Beteendevetare,private,34100
53,Beteendevetare,private,34500
54,Beteendevetare,private,34774
55,Beteendevetare,private,35000
57,Beteendevetare,private,35300
58,Beteendevetare,private,35500
59,Beteendevetare,private,36000
62,Beteendevetare,private,36500
64,Beteendevetare,private,37000
65,Beteendevetare,private,37320
66,Beteendevetare,private,37500
67,Beteendevetare,private,38000
68,Beteendevetare,private,38100
69,Beteendevetare,private,38500
70,Beteendevetare,private,39000
72,Beteendevetare,private,39400
73,Beteendevetare,private,39762
74,Beteendevetare,private,40000
77,Beteendevetare,private,40400
78,Beteendevetare,private,40600
79,Beteendevetare,private,41000
80,Beteendevetare,private,41201
81,Beteendevetare,private,41500
82,Beteendevetare,private,42100
83,Beteendevetare,private,42763
84,Beteendevetare,private,43936
85,Beteendevetare,private,44000
86,Beteendevetare,private,44866
87,Beteendevetare,private,45000
88,Beteendevetare,private,45500
89,Beteendevetare,private,46000
90,Beteendevetare,private,46530
91,Beteendevetare,private,48000
92,Beteendevetare,private,50000
93,Beteendevetare,private,52000
94,Beteendevetare,private,52774
95,Beteendevetare,private,55224
96,Beteendevetare,private,56824
97,Beteendevetare,private,59370
