percentile,profession,publicprivate,income
3,Ekonom,public,25600
4,Ekonom,public,26000
5,Ekonom,public,26300
6,Ekonom,public,26700
7,Ekonom,public,26800
8,Ekonom,public,27000
9,Ekonom,public,27500
10,Ekonom,public,27550
11,Ekonom,public,27800
12,Ekonom,public,28000
13,Ekonom,public,28400
14,Ekonom,public,28500
15,Ekonom,public,29000
16,Ekonom,public,29300
17,Ekonom,public,29650
18,Ekonom,public,30000
19,Ekonom,public,30450
20,Ekonom,public,31000
21,Ekonom,public,31200
22,Ekonom,public,31900
23,Ekonom,public,32000
24,Ekonom,public,32100
25,Ekonom,public,32300
26,Ekonom,public,32600
27,Ekonom,public,32900
28,Ekonom,public,33000
29,Ekonom,public,33325
30,Ekonom,public,33463
31,Ekonom,public,33700
32,Ekonom,public,33965
33,Ekonom,public,34000
34,Ekonom,public,34050
35,Ekonom,public,34300
36,Ekonom,public,34510
37,Ekonom,public,34750
38,Ekonom,public,35000
40,Ekonom,public,35085
41,Ekonom,public,35374
42,Ekonom,public,35700
43,Ekonom,public,36000
44,Ekonom,public,36275
45,Ekonom,public,36500
46,Ekonom,public,36700
47,Ekonom,public,36965
48,Ekonom,public,37100
49,Ekonom,public,37200
50,Ekonom,public,37475
51,Ekonom,public,37530
52,Ekonom,public,37800
53,Ekonom,public,38000
55,Ekonom,public,38315
56,Ekonom,public,38500
58,Ekonom,public,39000
59,Ekonom,public,39150
60,Ekonom,public,39400
61,Ekonom,public,40000
63,Ekonom,public,40200
64,Ekonom,public,40500
65,Ekonom,public,40900
66,Ekonom,public,41200
67,Ekonom,public,41500
68,Ekonom,public,42000
69,Ekonom,public,42500
70,Ekonom,public,42800
71,Ekonom,public,43050
72,Ekonom,public,43300
73,Ekonom,public,44000
75,Ekonom,public,44421
76,Ekonom,public,44800
77,Ekonom,public,45000
78,Ekonom,public,46000
79,Ekonom,public,46100
80,Ekonom,public,47350
81,Ekonom,public,48000
82,Ekonom,public,49000
83,Ekonom,public,49600
84,Ekonom,public,50000
85,Ekonom,public,50261
86,Ekonom,public,51225
87,Ekonom,public,51800
88,Ekonom,public,52600
89,Ekonom,public,53774
90,Ekonom,public,54050
91,Ekonom,public,55000
92,Ekonom,public,56775
93,Ekonom,public,58000
94,Ekonom,public,59200
95,Ekonom,public,60200
96,Ekonom,public,65200
97,Ekonom,public,68800
