percentile,profession,publicprivate,income
3,Fysioterapeut,private,25000
5,Fysioterapeut,private,25500
6,Fysioterapeut,private,25800
7,Fysioterapeut,private,26000
9,Fysioterapeut,private,26350
10,Fysioterapeut,private,26500
12,Fysioterapeut,private,26647
13,Fysioterapeut,private,26900
14,Fysioterapeut,private,27000
16,Fysioterapeut,private,27100
17,Fysioterapeut,private,27200
18,Fysioterapeut,private,27300
19,Fysioterapeut,private,27500
20,Fysioterapeut,private,27600
21,Fysioterapeut,private,27850
22,Fysioterapeut,private,28000
25,Fysioterapeut,private,28200
26,Fysioterapeut,private,28500
28,Fysioterapeut,private,28692
29,Fysioterapeut,private,28987
30,Fysioterapeut,private,29000
32,Fysioterapeut,private,29200
33,Fysioterapeut,private,29400
34,Fysioterapeut,private,29500
35,Fysioterapeut,private,29670
36,Fysioterapeut,private,29800
37,Fysioterapeut,private,30000
40,Fysioterapeut,private,30200
41,Fysioterapeut,private,30460
42,Fysioterapeut,private,30560
43,Fysioterapeut,private,30750
44,Fysioterapeut,private,30934
45,Fysioterapeut,private,31000
48,Fysioterapeut,private,31300
49,Fysioterapeut,private,31450
50,Fysioterapeut,private,31500
51,Fysioterapeut,private,31600
52,Fysioterapeut,private,32000
55,Fysioterapeut,private,32100
56,Fysioterapeut,private,32200
57,Fysioterapeut,private,32400
58,Fysioterapeut,private,32500
59,Fysioterapeut,private,32600
60,Fysioterapeut,private,32700
61,Fysioterapeut,private,32850
62,Fysioterapeut,private,33000
64,Fysioterapeut,private,33125
65,Fysioterapeut,private,33250
66,Fysioterapeut,private,33450
67,Fysioterapeut,private,33550
68,Fysioterapeut,private,33800
69,Fysioterapeut,private,34000
72,Fysioterapeut,private,34250
73,Fysioterapeut,private,34500
74,Fysioterapeut,private,34650
75,Fysioterapeut,private,34800
76,Fysioterapeut,private,35000
79,Fysioterapeut,private,35100
80,Fysioterapeut,private,35400
81,Fysioterapeut,private,35550
82,Fysioterapeut,private,35700
83,Fysioterapeut,private,36000
85,Fysioterapeut,private,36433
86,Fysioterapeut,private,37000
87,Fysioterapeut,private,37100
88,Fysioterapeut,private,37500
89,Fysioterapeut,private,38000
90,Fysioterapeut,private,38500
91,Fysioterapeut,private,38800
92,Fysioterapeut,private,39500
93,Fysioterapeut,private,40200
94,Fysioterapeut,private,40800
95,Fysioterapeut,private,42300
96,Fysioterapeut,private,44000
97,Fysioterapeut,private,46000
