percentile,profession,publicprivate,income
3,Jurist,private,28000
4,Jurist,private,28774
5,Jurist,private,29300
6,Jurist,private,30000
7,Jurist,private,30290
8,Jurist,private,31000
9,Jurist,private,31500
10,Jurist,private,32000
11,Jurist,private,32274
12,Jurist,private,32800
13,Jurist,private,33000
14,Jurist,private,33900
15,Jurist,private,34000
16,Jurist,private,34774
17,Jurist,private,35000
19,Jurist,private,35774
20,Jurist,private,36000
21,Jurist,private,36650
22,Jurist,private,37000
23,Jurist,private,37500
24,Jurist,private,38000
25,Jurist,private,38500
26,Jurist,private,38944
27,Jurist,private,39016
28,Jurist,private,39900
29,Jurist,private,40000
30,Jurist,private,40900
31,Jurist,private,41048
32,Jurist,private,41750
33,Jurist,private,42000
34,Jurist,private,42500
35,Jurist,private,43000
36,Jurist,private,43200
37,Jurist,private,43744
38,Jurist,private,44000
39,Jurist,private,44600
40,Jurist,private,45000
41,Jurist,private,45215
42,Jurist,private,46000
43,Jurist,private,46486
44,Jurist,private,47000
45,Jurist,private,47500
46,Jurist,private,48000
47,Jurist,private,48500
48,Jurist,private,49000
49,Jurist,private,49700
50,Jurist,private,50000
51,Jurist,private,50500
52,Jurist,private,51000
53,Jurist,private,51774
54,Jurist,private,52000
55,Jurist,private,52500
56,Jurist,private,53000
57,Jurist,private,53524
58,Jurist,private,54290
59,Jurist,private,55000
60,Jurist,private,55136
61,Jurist,private,56000
62,Jurist,private,56785
63,Jurist,private,57500
64,Jurist,private,58100
65,Jurist,private,59000
66,Jurist,private,60000
67,Jurist,private,60468
68,Jurist,private,61050
69,Jurist,private,61974
70,Jurist,private,62274
71,Jurist,private,63000
72,Jurist,private,63900
73,Jurist,private,65000
74,Jurist,private,65500
75,Jurist,private,66494
76,Jurist,private,67500
77,Jurist,private,68500
78,Jurist,private,69700
79,Jurist,private,70000
80,Jurist,private,71000
81,Jurist,private,72074
82,Jurist,private,73600
83,Jurist,private,75000
84,Jurist,private,75837
85,Jurist,private,77000
86,Jurist,private,78400
87,Jurist,private,80000
88,Jurist,private,81291
89,Jurist,private,83000
90,Jurist,private,85000
91,Jurist,private,87700
92,Jurist,private,90000
93,Jurist,private,92200
94,Jurist,private,95000
95,Jurist,private,99700
96,Jurist,private,105000
97,Jurist,private,110000
