percentile,profession,publicprivate,income
3,Civilekonomer ekonom,public,28400
4,Civilekonomer ekonom,public,29000
5,Civilekonomer ekonom,public,29800
6,Civilekonomer ekonom,public,30200
7,Civilekonomer ekonom,public,30650
8,Civilekonomer ekonom,public,31000
9,Civilekonomer ekonom,public,31500
10,Civilekonomer ekonom,public,32000
11,Civilekonomer ekonom,public,32500
12,Civilekonomer ekonom,public,33000
13,Civilekonomer ekonom,public,33300
14,Civilekonomer ekonom,public,33750
15,Civilekonomer ekonom,public,34100
16,Civilekonomer ekonom,public,34500
17,Civilekonomer ekonom,public,34800
18,Civilekonomer ekonom,public,35000
19,Civilekonomer ekonom,public,35300
20,Civilekonomer ekonom,public,35600
21,Civilekonomer ekonom,public,36000
22,Civilekonomer ekonom,public,36100
23,Civilekonomer ekonom,public,36500
24,Civilekonomer ekonom,public,36750
25,Civilekonomer ekonom,public,37000
26,Civilekonomer ekonom,public,37200
27,Civilekonomer ekonom,public,37500
28,Civilekonomer ekonom,public,37975
29,Civilekonomer ekonom,public,38132
30,Civilekonomer ekonom,public,38400
31,Civilekonomer ekonom,public,38700
32,Civilekonomer ekonom,public,39000
33,Civilekonomer ekonom,public,39200
34,Civilekonomer ekonom,public,39500
35,Civilekonomer ekonom,public,39800
36,Civilekonomer ekonom,public,40000
38,Civilekonomer ekonom,public,40300
39,Civilekonomer ekonom,public,40550
40,Civilekonomer ekonom,public,40800
41,Civilekonomer ekonom,public,41000
42,Civilekonomer ekonom,public,41200
43,Civilekonomer ekonom,public,41500
44,Civilekonomer ekonom,public,41700
45,Civilekonomer ekonom,public,42000
46,Civilekonomer ekonom,public,42100
47,Civilekonomer ekonom,public,42300
48,Civilekonomer ekonom,public,42500
49,Civilekonomer ekonom,public,42800
50,Civilekonomer ekonom,public,43000
51,Civilekonomer ekonom,public,43200
52,Civilekonomer ekonom,public,43500
53,Civilekonomer ekonom,public,43800
54,Civilekonomer ekonom,public,44000
55,Civilekonomer ekonom,public,44300
56,Civilekonomer ekonom,public,44600
57,Civilekonomer ekonom,public,44950
58,Civilekonomer ekonom,public,45000
59,Civilekonomer ekonom,public,45200
60,Civilekonomer ekonom,public,45500
61,Civilekonomer ekonom,public,45800
62,Civilekonomer ekonom,public,46000
63,Civilekonomer ekonom,public,46250
64,Civilekonomer ekonom,public,46600
65,Civilekonomer ekonom,public,47000
66,Civilekonomer ekonom,public,47200
67,Civilekonomer ekonom,public,47700
68,Civilekonomer ekonom,public,48000
69,Civilekonomer ekonom,public,48480
70,Civilekonomer ekonom,public,48800
71,Civilekonomer ekonom,public,49000
72,Civilekonomer ekonom,public,49600
73,Civilekonomer ekonom,public,50000
74,Civilekonomer ekonom,public,50250
75,Civilekonomer ekonom,public,50827
76,Civilekonomer ekonom,public,51300
77,Civilekonomer ekonom,public,52000
78,Civilekonomer ekonom,public,52200
79,Civilekonomer ekonom,public,53000
80,Civilekonomer ekonom,public,53237
81,Civilekonomer ekonom,public,53800
82,Civilekonomer ekonom,public,54300
83,Civilekonomer ekonom,public,55000
84,Civilekonomer ekonom,public,55500
85,Civilekonomer ekonom,public,56100
86,Civilekonomer ekonom,public,57000
87,Civilekonomer ekonom,public,58000
88,Civilekonomer ekonom,public,59000
89,Civilekonomer ekonom,public,60000
90,Civilekonomer ekonom,public,61000
91,Civilekonomer ekonom,public,62000
92,Civilekonomer ekonom,public,63500
93,Civilekonomer ekonom,public,65000
94,Civilekonomer ekonom,public,66500
95,Civilekonomer ekonom,public,68400
96,Civilekonomer ekonom,public,71800
97,Civilekonomer ekonom,public,75000
