percentile,profession,publicprivate,income
3,Ekonom,private,27500
4,Ekonom,private,28000
5,Ekonom,private,29000
6,Ekonom,private,29800
7,Ekonom,private,30300
8,Ekonom,private,31000
9,Ekonom,private,31720
10,Ekonom,private,32100
11,Ekonom,private,32800
12,Ekonom,private,33300
13,Ekonom,private,33900
14,Ekonom,private,34176
15,Ekonom,private,35000
16,Ekonom,private,35100
17,Ekonom,private,35660
18,Ekonom,private,36000
19,Ekonom,private,36300
20,Ekonom,private,36800
21,Ekonom,private,37128
22,Ekonom,private,37700
23,Ekonom,private,38000
24,Ekonom,private,38600
25,Ekonom,private,39100
26,Ekonom,private,39500
27,Ekonom,private,40000
29,Ekonom,private,40474
30,Ekonom,private,40800
31,Ekonom,private,41100
32,Ekonom,private,41500
33,Ekonom,private,42000
34,Ekonom,private,42200
35,Ekonom,private,42582
36,Ekonom,private,43000
37,Ekonom,private,43324
38,Ekonom,private,43758
39,Ekonom,private,44100
40,Ekonom,private,44500
41,Ekonom,private,44974
42,Ekonom,private,45000
43,Ekonom,private,45524
44,Ekonom,private,45940
45,Ekonom,private,46185
46,Ekonom,private,46800
47,Ekonom,private,47000
48,Ekonom,private,47453
49,Ekonom,private,47774
50,Ekonom,private,48000
51,Ekonom,private,48300
52,Ekonom,private,48800
53,Ekonom,private,49000
54,Ekonom,private,49636
55,Ekonom,private,50000
57,Ekonom,private,50500
58,Ekonom,private,51000
59,Ekonom,private,51450
60,Ekonom,private,52000
61,Ekonom,private,52374
62,Ekonom,private,52940
63,Ekonom,private,53405
64,Ekonom,private,54000
65,Ekonom,private,54474
66,Ekonom,private,55000
67,Ekonom,private,55320
68,Ekonom,private,56000
69,Ekonom,private,56500
70,Ekonom,private,57000
71,Ekonom,private,57774
72,Ekonom,private,58358
73,Ekonom,private,59333
74,Ekonom,private,60000
75,Ekonom,private,60750
76,Ekonom,private,61600
77,Ekonom,private,62200
78,Ekonom,private,63000
79,Ekonom,private,64120
80,Ekonom,private,65000
81,Ekonom,private,66000
82,Ekonom,private,67000
83,Ekonom,private,68000
84,Ekonom,private,69500
85,Ekonom,private,70000
86,Ekonom,private,71000
87,Ekonom,private,72774
88,Ekonom,private,74274
89,Ekonom,private,75795
90,Ekonom,private,77900
91,Ekonom,private,79000
92,Ekonom,private,81319
93,Ekonom,private,84000
94,Ekonom,private,88000
95,Ekonom,private,92182
96,Ekonom,private,99000
97,Ekonom,private,108300
