percentile,profession,publicprivate,income
3,Ekonom,public,27800
4,Ekonom,public,28300
5,Ekonom,public,28800
6,Ekonom,public,29300
7,Ekonom,public,29700
8,Ekonom,public,30050
9,Ekonom,public,30500
10,Ekonom,public,30984
11,Ekonom,public,31300
12,Ekonom,public,31628
13,Ekonom,public,31984
14,Ekonom,public,32200
15,Ekonom,public,32500
16,Ekonom,public,32800
17,Ekonom,public,33000
18,Ekonom,public,33200
19,Ekonom,public,33423
20,Ekonom,public,33700
21,Ekonom,public,34000
22,Ekonom,public,34200
23,Ekonom,public,34500
24,Ekonom,public,34800
25,Ekonom,public,35000
26,Ekonom,public,35200
27,Ekonom,public,35500
28,Ekonom,public,35700
29,Ekonom,public,36000
30,Ekonom,public,36200
31,Ekonom,public,36500
32,Ekonom,public,36700
33,Ekonom,public,37000
34,Ekonom,public,37300
35,Ekonom,public,37500
36,Ekonom,public,37800
37,Ekonom,public,38000
38,Ekonom,public,38100
39,Ekonom,public,38400
40,Ekonom,public,38600
41,Ekonom,public,38800
42,Ekonom,public,39000
43,Ekonom,public,39125
44,Ekonom,public,39300
45,Ekonom,public,39600
46,Ekonom,public,39800
47,Ekonom,public,40000
48,Ekonom,public,40100
49,Ekonom,public,40500
50,Ekonom,public,40720
51,Ekonom,public,41000
53,Ekonom,public,41487
54,Ekonom,public,41700
55,Ekonom,public,41900
56,Ekonom,public,42000
57,Ekonom,public,42250
58,Ekonom,public,42500
59,Ekonom,public,43000
60,Ekonom,public,43159
61,Ekonom,public,43500
62,Ekonom,public,43900
63,Ekonom,public,44000
64,Ekonom,public,44350
65,Ekonom,public,44700
66,Ekonom,public,45000
67,Ekonom,public,45300
68,Ekonom,public,45600
69,Ekonom,public,46000
70,Ekonom,public,46325
71,Ekonom,public,46800
72,Ekonom,public,47100
73,Ekonom,public,47500
74,Ekonom,public,48000
75,Ekonom,public,48150
76,Ekonom,public,48700
77,Ekonom,public,49100
78,Ekonom,public,49530
79,Ekonom,public,50000
80,Ekonom,public,50300
81,Ekonom,public,50769
82,Ekonom,public,51300
83,Ekonom,public,52000
84,Ekonom,public,52300
85,Ekonom,public,53000
86,Ekonom,public,53700
87,Ekonom,public,54363
88,Ekonom,public,55000
89,Ekonom,public,56000
90,Ekonom,public,57125
91,Ekonom,public,58000
92,Ekonom,public,59475
93,Ekonom,public,60675
94,Ekonom,public,62000
95,Ekonom,public,64000
96,Ekonom,public,67050
97,Ekonom,public,70000
