percentile,profession,publicprivate,income
3,Jurist,private,28675
4,Jurist,private,29450
5,Jurist,private,30000
6,Jurist,private,30260
7,Jurist,private,31000
8,Jurist,private,31253
9,Jurist,private,31990
10,Jurist,private,32113
11,Jurist,private,33000
12,Jurist,private,33400
13,Jurist,private,34000
14,Jurist,private,34625
15,Jurist,private,35000
17,Jurist,private,35950
18,Jurist,private,36000
19,Jurist,private,36625
20,Jurist,private,37000
21,Jurist,private,37400
22,Jurist,private,38000
23,Jurist,private,38052
24,Jurist,private,38894
25,Jurist,private,39188
26,Jurist,private,40000
28,Jurist,private,40600
29,Jurist,private,41000
30,Jurist,private,41500
31,Jurist,private,42000
32,Jurist,private,42425
33,Jurist,private,43000
34,Jurist,private,43725
35,Jurist,private,44000
36,Jurist,private,44851
37,Jurist,private,45000
38,Jurist,private,45424
39,Jurist,private,46000
40,Jurist,private,46225
41,Jurist,private,47000
42,Jurist,private,47500
43,Jurist,private,48000
44,Jurist,private,48758
45,Jurist,private,49300
46,Jurist,private,50000
48,Jurist,private,50500
49,Jurist,private,51500
50,Jurist,private,52000
51,Jurist,private,52839
52,Jurist,private,53500
53,Jurist,private,54014
54,Jurist,private,54900
55,Jurist,private,55000
56,Jurist,private,55550
57,Jurist,private,56000
58,Jurist,private,56827
59,Jurist,private,57500
60,Jurist,private,58200
61,Jurist,private,59043
62,Jurist,private,60000
64,Jurist,private,61000
65,Jurist,private,61814
66,Jurist,private,62500
67,Jurist,private,63199
68,Jurist,private,64000
69,Jurist,private,65000
70,Jurist,private,65575
71,Jurist,private,66500
72,Jurist,private,67179
73,Jurist,private,68213
74,Jurist,private,69360
75,Jurist,private,70000
76,Jurist,private,71000
77,Jurist,private,72000
78,Jurist,private,73000
79,Jurist,private,74033
80,Jurist,private,75000
81,Jurist,private,76000
82,Jurist,private,77500
83,Jurist,private,79000
84,Jurist,private,80000
85,Jurist,private,81190
86,Jurist,private,83000
87,Jurist,private,85000
88,Jurist,private,86000
89,Jurist,private,88766
90,Jurist,private,90000
91,Jurist,private,92088
92,Jurist,private,95000
93,Jurist,private,98414
94,Jurist,private,101000
95,Jurist,private,104900
96,Jurist,private,110000
97,Jurist,private,118615
