percentile,profession,publicprivate,income
3,Jurist,public,26800
4,Jurist,public,27300
5,Jurist,public,27700
6,Jurist,public,28000
7,Jurist,public,28400
8,Jurist,public,28600
10,Jurist,public,29000
11,Jurist,public,29300
12,Jurist,public,29750
13,Jurist,public,30000
14,Jurist,public,30500
15,Jurist,public,31000
16,Jurist,public,31300
17,Jurist,public,31900
18,Jurist,public,32125
19,Jurist,public,32500
20,Jurist,public,32800
21,Jurist,public,33000
22,Jurist,public,33200
23,Jurist,public,33550
24,Jurist,public,34000
25,Jurist,public,34200
26,Jurist,public,34500
27,Jurist,public,34800
28,Jurist,public,35000
29,Jurist,public,35400
30,Jurist,public,35700
31,Jurist,public,36000
32,Jurist,public,36400
33,Jurist,public,36600
34,Jurist,public,36900
35,Jurist,public,37000
36,Jurist,public,37500
37,Jurist,public,37800
38,Jurist,public,38000
39,Jurist,public,38500
40,Jurist,public,38750
41,Jurist,public,39000
42,Jurist,public,39300
43,Jurist,public,39600
44,Jurist,public,40000
45,Jurist,public,40100
46,Jurist,public,40500
47,Jurist,public,40900
48,Jurist,public,41200
49,Jurist,public,41600
50,Jurist,public,42000
51,Jurist,public,42200
52,Jurist,public,42700
53,Jurist,public,43000
54,Jurist,public,43400
55,Jurist,public,43700
56,Jurist,public,44000
57,Jurist,public,44500
58,Jurist,public,45000
60,Jurist,public,45415
61,Jurist,public,45900
62,Jurist,public,46100
63,Jurist,public,46500
64,Jurist,public,47000
65,Jurist,public,47300
66,Jurist,public,47700
67,Jurist,public,48000
68,Jurist,public,48500
69,Jurist,public,49000
70,Jurist,public,49400
71,Jurist,public,50000
72,Jurist,public,50300
73,Jurist,public,51050
74,Jurist,public,52000
75,Jurist,public,52500
76,Jurist,public,53000
77,Jurist,public,54000
78,Jurist,public,54900
79,Jurist,public,55600
80,Jurist,public,56680
81,Jurist,public,57800
82,Jurist,public,58900
83,Jurist,public,59760
84,Jurist,public,60300
85,Jurist,public,61200
86,Jurist,public,62000
87,Jurist,public,62500
88,Jurist,public,63300
89,Jurist,public,64100
90,Jurist,public,64900
91,Jurist,public,65300
92,Jurist,public,66700
93,Jurist,public,68274
94,Jurist,public,70000
95,Jurist,public,72500
96,Jurist,public,74500
97,Jurist,public,78500
