percentile,profession,publicprivate,income
3,Personalvetare,private,27000
4,Personalvetare,private,28000
6,Personalvetare,private,28650
7,Personalvetare,private,29300
8,Personalvetare,private,30000
9,Personalvetare,private,30450
10,Personalvetare,private,31000
11,Personalvetare,private,31300
12,Personalvetare,private,32000
13,Personalvetare,private,32577
14,Personalvetare,private,33000
15,Personalvetare,private,33500
16,Personalvetare,private,34000
17,Personalvetare,private,34600
18,Personalvetare,private,35000
20,Personalvetare,private,35500
21,Personalvetare,private,36000
22,Personalvetare,private,36297
23,Personalvetare,private,36827
24,Personalvetare,private,37000
25,Personalvetare,private,37450
26,Personalvetare,private,37890
27,Personalvetare,private,38000
28,Personalvetare,private,38435
29,Personalvetare,private,38675
30,Personalvetare,private,39000
31,Personalvetare,private,39180
32,Personalvetare,private,40000
35,Personalvetare,private,40500
36,Personalvetare,private,40800
37,Personalvetare,private,41000
38,Personalvetare,private,41397
39,Personalvetare,private,41800
40,Personalvetare,private,42000
41,Personalvetare,private,42600
42,Personalvetare,private,43000
43,Personalvetare,private,43300
44,Personalvetare,private,43583
45,Personalvetare,private,44000
46,Personalvetare,private,44327
47,Personalvetare,private,45000
48,Personalvetare,private,45280
49,Personalvetare,private,45860
50,Personalvetare,private,46000
51,Personalvetare,private,46400
52,Personalvetare,private,47000
53,Personalvetare,private,47580
54,Personalvetare,private,47995
55,Personalvetare,private,48000
56,Personalvetare,private,48390
57,Personalvetare,private,49300
58,Personalvetare,private,49980
59,Personalvetare,private,50000
61,Personalvetare,private,50880
62,Personalvetare,private,51175
63,Personalvetare,private,51740
64,Personalvetare,private,52000
65,Personalvetare,private,52600
66,Personalvetare,private,53000
67,Personalvetare,private,53300
68,Personalvetare,private,53550
69,Personalvetare,private,54000
70,Personalvetare,private,55000
71,Personalvetare,private,55350
72,Personalvetare,private,56000
73,Personalvetare,private,56900
74,Personalvetare,private,57700
75,Personalvetare,private,58050
76,Personalvetare,private,59477
77,Personalvetare,private,60000
78,Personalvetare,private,60800
79,Personalvetare,private,61800
80,Personalvetare,private,63000
81,Personalvetare,private,63691
82,Personalvetare,private,65000
83,Personalvetare,private,65827
84,Personalvetare,private,66800
85,Personalvetare,private,67900
86,Personalvetare,private,68900
87,Personalvetare,private,70000
88,Personalvetare,private,71783
89,Personalvetare,private,72664
90,Personalvetare,private,73500
91,Personalvetare,private,75000
92,Personalvetare,private,77637
93,Personalvetare,private,82000
94,Personalvetare,private,84528
95,Personalvetare,private,86500
96,Personalvetare,private,90573
97,Personalvetare,private,97000
