percentile,profession,publicprivate,income
3,Personalvetare,public,28800
4,Personalvetare,public,29000
5,Personalvetare,public,29500
6,Personalvetare,public,30000
7,Personalvetare,public,30100
8,Personalvetare,public,30300
9,Personalvetare,public,30527
10,Personalvetare,public,31000
11,Personalvetare,public,31200
12,Personalvetare,public,31500
13,Personalvetare,public,31850
14,Personalvetare,public,32000
15,Personalvetare,public,32200
16,Personalvetare,public,32600
17,Personalvetare,public,32900
18,Personalvetare,public,33000
19,Personalvetare,public,33400
20,Personalvetare,public,33500
21,Personalvetare,public,33700
22,Personalvetare,public,33900
23,Personalvetare,public,34000
24,Personalvetare,public,34100
25,Personalvetare,public,34500
26,Personalvetare,public,34628
27,Personalvetare,public,35000
29,Personalvetare,public,35300
30,Personalvetare,public,35500
31,Personalvetare,public,35900
32,Personalvetare,public,36000
34,Personalvetare,public,36100
35,Personalvetare,public,36500
36,Personalvetare,public,36850
37,Personalvetare,public,37000
38,Personalvetare,public,37300
39,Personalvetare,public,37500
40,Personalvetare,public,37800
41,Personalvetare,public,38000
42,Personalvetare,public,38050
43,Personalvetare,public,38500
44,Personalvetare,public,38800
45,Personalvetare,public,39000
47,Personalvetare,public,39300
48,Personalvetare,public,39500
49,Personalvetare,public,39600
50,Personalvetare,public,40000
52,Personalvetare,public,40270
53,Personalvetare,public,40450
54,Personalvetare,public,40700
55,Personalvetare,public,41000
57,Personalvetare,public,41500
58,Personalvetare,public,41700
59,Personalvetare,public,42000
60,Personalvetare,public,42200
61,Personalvetare,public,42500
62,Personalvetare,public,42900
63,Personalvetare,public,43000
64,Personalvetare,public,43200
65,Personalvetare,public,43585
66,Personalvetare,public,43900
67,Personalvetare,public,44000
68,Personalvetare,public,44600
69,Personalvetare,public,45000
71,Personalvetare,public,45300
72,Personalvetare,public,45800
73,Personalvetare,public,46200
74,Personalvetare,public,46600
75,Personalvetare,public,47000
76,Personalvetare,public,47200
77,Personalvetare,public,47600
78,Personalvetare,public,48000
79,Personalvetare,public,48600
80,Personalvetare,public,49000
81,Personalvetare,public,49700
82,Personalvetare,public,50000
83,Personalvetare,public,50400
84,Personalvetare,public,51000
85,Personalvetare,public,51700
86,Personalvetare,public,52850
87,Personalvetare,public,54000
88,Personalvetare,public,54700
89,Personalvetare,public,55500
90,Personalvetare,public,56000
91,Personalvetare,public,57000
92,Personalvetare,public,58000
93,Personalvetare,public,60000
94,Personalvetare,public,61000
95,Personalvetare,public,63000
96,Personalvetare,public,65000
97,Personalvetare,public,68200
