percentile,profession,publicprivate,income
3,Samhällsvetare,private,27500
4,Samhällsvetare,private,28500
5,Samhällsvetare,private,29459
6,Samhällsvetare,private,30000
7,Samhällsvetare,private,30550
8,Samhällsvetare,private,31000
9,Samhällsvetare,private,31800
10,Samhällsvetare,private,32300
11,Samhällsvetare,private,32960
12,Samhällsvetare,private,33200
13,Samhällsvetare,private,33900
14,Samhällsvetare,private,34000
15,Samhällsvetare,private,34600
16,Samhällsvetare,private,35000
18,Samhällsvetare,private,35660
19,Samhällsvetare,private,36000
20,Samhällsvetare,private,36090
21,Samhällsvetare,private,36467
22,Samhällsvetare,private,36855
23,Samhällsvetare,private,37000
24,Samhällsvetare,private,37650
25,Samhällsvetare,private,38050
26,Samhällsvetare,private,38500
27,Samhällsvetare,private,38900
28,Samhällsvetare,private,39100
29,Samhällsvetare,private,39600
30,Samhällsvetare,private,40000
32,Samhällsvetare,private,40271
33,Samhällsvetare,private,40710
34,Samhällsvetare,private,41000
35,Samhällsvetare,private,41600
36,Samhällsvetare,private,41800
37,Samhällsvetare,private,42000
38,Samhällsvetare,private,42400
39,Samhällsvetare,private,42800
40,Samhällsvetare,private,43000
41,Samhällsvetare,private,43300
42,Samhällsvetare,private,43670
43,Samhällsvetare,private,44000
44,Samhällsvetare,private,44300
45,Samhällsvetare,private,44600
46,Samhällsvetare,private,45000
47,Samhällsvetare,private,45300
48,Samhällsvetare,private,46000
49,Samhällsvetare,private,46150
50,Samhällsvetare,private,46864
51,Samhällsvetare,private,47000
52,Samhällsvetare,private,47500
53,Samhällsvetare,private,47800
54,Samhällsvetare,private,48000
55,Samhällsvetare,private,48300
56,Samhällsvetare,private,48700
57,Samhällsvetare,private,49000
58,Samhällsvetare,private,49500
59,Samhällsvetare,private,49900
60,Samhällsvetare,private,50000
61,Samhällsvetare,private,50300
62,Samhällsvetare,private,50800
63,Samhällsvetare,private,51000
64,Samhällsvetare,private,51627
65,Samhällsvetare,private,52000
66,Samhällsvetare,private,52500
67,Samhällsvetare,private,53150
68,Samhällsvetare,private,54000
69,Samhällsvetare,private,54227
70,Samhällsvetare,private,54851
71,Samhällsvetare,private,55000
72,Samhällsvetare,private,55650
73,Samhällsvetare,private,56130
74,Samhällsvetare,private,57000
75,Samhällsvetare,private,57750
76,Samhällsvetare,private,58100
77,Samhällsvetare,private,59000
78,Samhällsvetare,private,60000
80,Samhällsvetare,private,61000
81,Samhällsvetare,private,61800
82,Samhällsvetare,private,62130
83,Samhällsvetare,private,63250
84,Samhällsvetare,private,64468
85,Samhällsvetare,private,65000
86,Samhällsvetare,private,66912
87,Samhällsvetare,private,68000
88,Samhällsvetare,private,69500
89,Samhällsvetare,private,70000
90,Samhällsvetare,private,71500
91,Samhällsvetare,private,72500
92,Samhällsvetare,private,75000
93,Samhällsvetare,private,77500
94,Samhällsvetare,private,80000
95,Samhällsvetare,private,84000
96,Samhällsvetare,private,87900
97,Samhällsvetare,private,93980
