percentile,profession,publicprivate,income
3,Samhällsvetare,public,28000
4,Samhällsvetare,public,28400
5,Samhällsvetare,public,28900
6,Samhällsvetare,public,29150
7,Samhällsvetare,public,29700
8,Samhällsvetare,public,30065
9,Samhällsvetare,public,30500
10,Samhällsvetare,public,30800
11,Samhällsvetare,public,31000
12,Samhällsvetare,public,31500
13,Samhällsvetare,public,31900
14,Samhällsvetare,public,32000
15,Samhällsvetare,public,32400
16,Samhällsvetare,public,32800
17,Samhällsvetare,public,33000
18,Samhällsvetare,public,33200
19,Samhällsvetare,public,33500
20,Samhällsvetare,public,34000
21,Samhällsvetare,public,34080
22,Samhällsvetare,public,34400
23,Samhällsvetare,public,34750
24,Samhällsvetare,public,35000
25,Samhällsvetare,public,35200
26,Samhällsvetare,public,35500
27,Samhällsvetare,public,35700
28,Samhällsvetare,public,36000
29,Samhällsvetare,public,36400
30,Samhällsvetare,public,36600
31,Samhällsvetare,public,36900
32,Samhällsvetare,public,37000
33,Samhällsvetare,public,37300
34,Samhällsvetare,public,37600
35,Samhällsvetare,public,37800
36,Samhällsvetare,public,38000
37,Samhällsvetare,public,38200
38,Samhällsvetare,public,38500
39,Samhällsvetare,public,38800
40,Samhällsvetare,public,39000
41,Samhällsvetare,public,39300
42,Samhällsvetare,public,39500
43,Samhällsvetare,public,39800
44,Samhällsvetare,public,40000
46,Samhällsvetare,public,40300
47,Samhällsvetare,public,40600
48,Samhällsvetare,public,40950
49,Samhällsvetare,public,41000
50,Samhällsvetare,public,41200
51,Samhällsvetare,public,41500
52,Samhällsvetare,public,41800
53,Samhällsvetare,public,42000
54,Samhällsvetare,public,42200
55,Samhällsvetare,public,42500
56,Samhällsvetare,public,42650
57,Samhällsvetare,public,43000
58,Samhällsvetare,public,43200
59,Samhällsvetare,public,43500
60,Samhällsvetare,public,43700
61,Samhällsvetare,public,44000
62,Samhällsvetare,public,44200
63,Samhällsvetare,public,44500
64,Samhällsvetare,public,44900
65,Samhällsvetare,public,45000
66,Samhällsvetare,public,45200
67,Samhällsvetare,public,45550
68,Samhällsvetare,public,45900
69,Samhällsvetare,public,46000
70,Samhällsvetare,public,46400
71,Samhällsvetare,public,46600
72,Samhällsvetare,public,47000
73,Samhällsvetare,public,47200
74,Samhällsvetare,public,47500
75,Samhällsvetare,public,48000
76,Samhällsvetare,public,48250
77,Samhällsvetare,public,48700
78,Samhällsvetare,public,49000
79,Samhällsvetare,public,49600
80,Samhällsvetare,public,50000
81,Samhällsvetare,public,50500
82,Samhällsvetare,public,51000
83,Samhällsvetare,public,52000
84,Samhällsvetare,public,52400
85,Samhällsvetare,public,53000
86,Samhällsvetare,public,53700
87,Samhällsvetare,public,54327
88,Samhällsvetare,public,55200
89,Samhällsvetare,public,56200
90,Samhällsvetare,public,57400
91,Samhällsvetare,public,59000
92,Samhällsvetare,public,60000
93,Samhällsvetare,public,61600
94,Samhällsvetare,public,63000
95,Samhällsvetare,public,64980
96,Samhällsvetare,public,66700
97,Samhällsvetare,public,70000
