percentile,profession,publicprivate,income
3,Systemvetare,private,29000
4,Systemvetare,private,30000
5,Systemvetare,private,30792
6,Systemvetare,private,31150
7,Systemvetare,private,32000
8,Systemvetare,private,32990
9,Systemvetare,private,33300
10,Systemvetare,private,34000
11,Systemvetare,private,34700
12,Systemvetare,private,35000
13,Systemvetare,private,35500
14,Systemvetare,private,36000
15,Systemvetare,private,36550
16,Systemvetare,private,37000
17,Systemvetare,private,37600
18,Systemvetare,private,38000
19,Systemvetare,private,38500
20,Systemvetare,private,38873
21,Systemvetare,private,39200
22,Systemvetare,private,39745
23,Systemvetare,private,40000
24,Systemvetare,private,40250
25,Systemvetare,private,40800
26,Systemvetare,private,41005
27,Systemvetare,private,41500
28,Systemvetare,private,41862
29,Systemvetare,private,42000
30,Systemvetare,private,42500
31,Systemvetare,private,42950
32,Systemvetare,private,43100
33,Systemvetare,private,43500
34,Systemvetare,private,43792
35,Systemvetare,private,44000
36,Systemvetare,private,44300
37,Systemvetare,private,44600
38,Systemvetare,private,45000
40,Systemvetare,private,45052
41,Systemvetare,private,45500
42,Systemvetare,private,45850
43,Systemvetare,private,46000
44,Systemvetare,private,46235
45,Systemvetare,private,46600
46,Systemvetare,private,46900
47,Systemvetare,private,47000
48,Systemvetare,private,47360
49,Systemvetare,private,47600
50,Systemvetare,private,48000
51,Systemvetare,private,48013
52,Systemvetare,private,48500
53,Systemvetare,private,48767
54,Systemvetare,private,49000
55,Systemvetare,private,49300
56,Systemvetare,private,49700
57,Systemvetare,private,50000
59,Systemvetare,private,50250
60,Systemvetare,private,50700
61,Systemvetare,private,51000
62,Systemvetare,private,51281
63,Systemvetare,private,51700
64,Systemvetare,private,52000
65,Systemvetare,private,52300
66,Systemvetare,private,52800
67,Systemvetare,private,53000
68,Systemvetare,private,53400
69,Systemvetare,private,53943
70,Systemvetare,private,54100
71,Systemvetare,private,54565
72,Systemvetare,private,55000
74,Systemvetare,private,55500
75,Systemvetare,private,56000
76,Systemvetare,private,56300
77,Systemvetare,private,57000
78,Systemvetare,private,57457
79,Systemvetare,private,58000
80,Systemvetare,private,58750
81,Systemvetare,private,59500
82,Systemvetare,private,60000
83,Systemvetare,private,60400
84,Systemvetare,private,61020
85,Systemvetare,private,62000
86,Systemvetare,private,62755
87,Systemvetare,private,63300
88,Systemvetare,private,64042
89,Systemvetare,private,65000
90,Systemvetare,private,66000
91,Systemvetare,private,67500
92,Systemvetare,private,69000
93,Systemvetare,private,70800
94,Systemvetare,private,73000
95,Systemvetare,private,75600
96,Systemvetare,private,78850
97,Systemvetare,private,82620
