percentile,profession,publicprivate,income
3,Systemvetare,public,30000
4,Systemvetare,public,31000
5,Systemvetare,public,31800
6,Systemvetare,public,32000
7,Systemvetare,public,32700
8,Systemvetare,public,33400
9,Systemvetare,public,33900
10,Systemvetare,public,34250
11,Systemvetare,public,34800
12,Systemvetare,public,35000
13,Systemvetare,public,35300
14,Systemvetare,public,35800
15,Systemvetare,public,36000
16,Systemvetare,public,36400
17,Systemvetare,public,36565
18,Systemvetare,public,37000
19,Systemvetare,public,37450
20,Systemvetare,public,37685
21,Systemvetare,public,37900
22,Systemvetare,public,38000
23,Systemvetare,public,38300
24,Systemvetare,public,38500
25,Systemvetare,public,38800
26,Systemvetare,public,39000
27,Systemvetare,public,39200
28,Systemvetare,public,39500
29,Systemvetare,public,39600
30,Systemvetare,public,39900
31,Systemvetare,public,40000
32,Systemvetare,public,40050
33,Systemvetare,public,40300
34,Systemvetare,public,40630
35,Systemvetare,public,40820
36,Systemvetare,public,41000
37,Systemvetare,public,41350
38,Systemvetare,public,41550
39,Systemvetare,public,41800
40,Systemvetare,public,42000
42,Systemvetare,public,42300
43,Systemvetare,public,42450
44,Systemvetare,public,42550
45,Systemvetare,public,42700
46,Systemvetare,public,42990
47,Systemvetare,public,43000
48,Systemvetare,public,43100
49,Systemvetare,public,43500
50,Systemvetare,public,43600
51,Systemvetare,public,43950
52,Systemvetare,public,44000
53,Systemvetare,public,44200
54,Systemvetare,public,44400
55,Systemvetare,public,44700
56,Systemvetare,public,44900
57,Systemvetare,public,45000
58,Systemvetare,public,45300
59,Systemvetare,public,45500
60,Systemvetare,public,45700
61,Systemvetare,public,46000
63,Systemvetare,public,46450
64,Systemvetare,public,46900
65,Systemvetare,public,47000
66,Systemvetare,public,47300
67,Systemvetare,public,47500
68,Systemvetare,public,47800
69,Systemvetare,public,48000
70,Systemvetare,public,48200
71,Systemvetare,public,48500
72,Systemvetare,public,48800
73,Systemvetare,public,49000
74,Systemvetare,public,49400
75,Systemvetare,public,49700
76,Systemvetare,public,50000
77,Systemvetare,public,50200
78,Systemvetare,public,50500
79,Systemvetare,public,51000
80,Systemvetare,public,51450
81,Systemvetare,public,52000
82,Systemvetare,public,52500
83,Systemvetare,public,52900
84,Systemvetare,public,53000
85,Systemvetare,public,53700
86,Systemvetare,public,54400
87,Systemvetare,public,54994
88,Systemvetare,public,55300
89,Systemvetare,public,56200
90,Systemvetare,public,57000
91,Systemvetare,public,57700
92,Systemvetare,public,58700
93,Systemvetare,public,59600
94,Systemvetare,public,60500
95,Systemvetare,public,62000
96,Systemvetare,public,63500
97,Systemvetare,public,66300
