percentile,profession,publicprivate,income
3,Personalvetare,private,25500
4,Personalvetare,private,26000
5,Personalvetare,private,26200
6,Personalvetare,private,26800
7,Personalvetare,private,27000
8,Personalvetare,private,27500
9,Personalvetare,private,28000
10,Personalvetare,private,28200
11,Personalvetare,private,28840
12,Personalvetare,private,29000
14,Personalvetare,private,29300
15,Personalvetare,private,30000
16,Personalvetare,private,30400
17,Personalvetare,private,30675
18,Personalvetare,private,30870
19,Personalvetare,private,31000
20,Personalvetare,private,31400
21,Personalvetare,private,31500
22,Personalvetare,private,31774
23,Personalvetare,private,32000
25,Personalvetare,private,32500
26,Personalvetare,private,32800
27,Personalvetare,private,33000
28,Personalvetare,private,33035
29,Personalvetare,private,33500
30,Personalvetare,private,34000
32,Personalvetare,private,34700
33,Personalvetare,private,35000
36,Personalvetare,private,35600
37,Personalvetare,private,35750
38,Personalvetare,private,36000
39,Personalvetare,private,36500
40,Personalvetare,private,37000
41,Personalvetare,private,37300
42,Personalvetare,private,37790
43,Personalvetare,private,38000
44,Personalvetare,private,38200
45,Personalvetare,private,38500
46,Personalvetare,private,38650
47,Personalvetare,private,39180
48,Personalvetare,private,39500
49,Personalvetare,private,39800
50,Personalvetare,private,40000
52,Personalvetare,private,40100
53,Personalvetare,private,41000
54,Personalvetare,private,41374
55,Personalvetare,private,41800
56,Personalvetare,private,42000
57,Personalvetare,private,42150
58,Personalvetare,private,42550
59,Personalvetare,private,43000
60,Personalvetare,private,43300
61,Personalvetare,private,44000
62,Personalvetare,private,44333
63,Personalvetare,private,45000
64,Personalvetare,private,45045
65,Personalvetare,private,45500
66,Personalvetare,private,46000
67,Personalvetare,private,46665
68,Personalvetare,private,46974
69,Personalvetare,private,47000
70,Personalvetare,private,47150
71,Personalvetare,private,47500
72,Personalvetare,private,48000
74,Personalvetare,private,48375
75,Personalvetare,private,48800
76,Personalvetare,private,49700
77,Personalvetare,private,50000
78,Personalvetare,private,50100
79,Personalvetare,private,50936
80,Personalvetare,private,51750
81,Personalvetare,private,52000
82,Personalvetare,private,53000
83,Personalvetare,private,54500
84,Personalvetare,private,56500
85,Personalvetare,private,57400
86,Personalvetare,private,58000
87,Personalvetare,private,58835
88,Personalvetare,private,59314
89,Personalvetare,private,60000
90,Personalvetare,private,61000
91,Personalvetare,private,62200
92,Personalvetare,private,65000
93,Personalvetare,private,67000
94,Personalvetare,private,69700
95,Personalvetare,private,73400
96,Personalvetare,private,77876
97,Personalvetare,private,82800
