percentile,profession,publicprivate,income
3,Personalvetare,public,26000
4,Personalvetare,public,26300
5,Personalvetare,public,26500
6,Personalvetare,public,26800
7,Personalvetare,public,27000
8,Personalvetare,public,27100
9,Personalvetare,public,27250
10,Personalvetare,public,27500
11,Personalvetare,public,27600
12,Personalvetare,public,27845
13,Personalvetare,public,28000
14,Personalvetare,public,28174
15,Personalvetare,public,28500
16,Personalvetare,public,28600
17,Personalvetare,public,28900
18,Personalvetare,public,29000
19,Personalvetare,public,29300
20,Personalvetare,public,29500
21,Personalvetare,public,29800
22,Personalvetare,public,30000
24,Personalvetare,public,30250
25,Personalvetare,public,30500
26,Personalvetare,public,30600
27,Personalvetare,public,30800
28,Personalvetare,public,31000
30,Personalvetare,public,31300
31,Personalvetare,public,31545
32,Personalvetare,public,31950
33,Personalvetare,public,32000
35,Personalvetare,public,32200
36,Personalvetare,public,32500
37,Personalvetare,public,32650
38,Personalvetare,public,33000
40,Personalvetare,public,33200
41,Personalvetare,public,33400
42,Personalvetare,public,33500
43,Personalvetare,public,33800
44,Personalvetare,public,33900
45,Personalvetare,public,34000
47,Personalvetare,public,34300
48,Personalvetare,public,34600
49,Personalvetare,public,34984
50,Personalvetare,public,35000
51,Personalvetare,public,35100
52,Personalvetare,public,35250
53,Personalvetare,public,35500
54,Personalvetare,public,35650
55,Personalvetare,public,35800
56,Personalvetare,public,36000
57,Personalvetare,public,36200
58,Personalvetare,public,36400
59,Personalvetare,public,36750
60,Personalvetare,public,37000
63,Personalvetare,public,37500
64,Personalvetare,public,37600
65,Personalvetare,public,37900
66,Personalvetare,public,38000
67,Personalvetare,public,38500
68,Personalvetare,public,38800
69,Personalvetare,public,39000
70,Personalvetare,public,39500
71,Personalvetare,public,39600
72,Personalvetare,public,39950
73,Personalvetare,public,40000
74,Personalvetare,public,40350
75,Personalvetare,public,41000
76,Personalvetare,public,41300
77,Personalvetare,public,41800
78,Personalvetare,public,42000
79,Personalvetare,public,42600
80,Personalvetare,public,43000
81,Personalvetare,public,43500
82,Personalvetare,public,43900
83,Personalvetare,public,44000
84,Personalvetare,public,44500
85,Personalvetare,public,45000
86,Personalvetare,public,45600
87,Personalvetare,public,46200
88,Personalvetare,public,46900
89,Personalvetare,public,47800
90,Personalvetare,public,48000
91,Personalvetare,public,49800
92,Personalvetare,public,50750
93,Personalvetare,public,52000
94,Personalvetare,public,53500
95,Personalvetare,public,55000
96,Personalvetare,public,57500
97,Personalvetare,public,60000
