percentile,profession,publicprivate,income
3,Agronom,private,28700
4,Agronom,private,29200
5,Agronom,private,29790
6,Agronom,private,30000
7,Agronom,private,30500
8,Agronom,private,31200
9,Agronom,private,31530
10,Agronom,private,31850
11,Agronom,private,32000
12,Agronom,private,32345
13,Agronom,private,32640
14,Agronom,private,33000
16,Agronom,private,34000
17,Agronom,private,34175
18,Agronom,private,34840
19,Agronom,private,35000
20,Agronom,private,35400
21,Agronom,private,35700
22,Agronom,private,36000
24,Agronom,private,36500
25,Agronom,private,36650
26,Agronom,private,36800
27,Agronom,private,37000
28,Agronom,private,37350
29,Agronom,private,37563
30,Agronom,private,37700
31,Agronom,private,38000
32,Agronom,private,38100
33,Agronom,private,38700
34,Agronom,private,38800
35,Agronom,private,39212
36,Agronom,private,39400
37,Agronom,private,39817
38,Agronom,private,40000
39,Agronom,private,40250
40,Agronom,private,40750
41,Agronom,private,41000
42,Agronom,private,41200
43,Agronom,private,41650
44,Agronom,private,41982
45,Agronom,private,42050
46,Agronom,private,42500
47,Agronom,private,42700
48,Agronom,private,43000
49,Agronom,private,43100
50,Agronom,private,43500
51,Agronom,private,43800
52,Agronom,private,43930
53,Agronom,private,44086
54,Agronom,private,44200
55,Agronom,private,44550
56,Agronom,private,44775
57,Agronom,private,44863
58,Agronom,private,45019
59,Agronom,private,45500
60,Agronom,private,45800
61,Agronom,private,46000
62,Agronom,private,46200
63,Agronom,private,46475
64,Agronom,private,47000
65,Agronom,private,47200
66,Agronom,private,47500
67,Agronom,private,48100
68,Agronom,private,48500
69,Agronom,private,48762
70,Agronom,private,49000
71,Agronom,private,49096
72,Agronom,private,49500
73,Agronom,private,50000
74,Agronom,private,50328
75,Agronom,private,50972
76,Agronom,private,51062
77,Agronom,private,53000
78,Agronom,private,53360
79,Agronom,private,54000
80,Agronom,private,55000
81,Agronom,private,55200
82,Agronom,private,55350
83,Agronom,private,57000
84,Agronom,private,57564
85,Agronom,private,57850
86,Agronom,private,58000
87,Agronom,private,58875
88,Agronom,private,59422
89,Agronom,private,60500
90,Agronom,private,62000
91,Agronom,private,64000
92,Agronom,private,64613
93,Agronom,private,66850
94,Agronom,private,69500
95,Agronom,private,72000
96,Agronom,private,84000
97,Agronom,private,88083
