percentile,profession,publicprivate,income
3,Agronom,public,29000
4,Agronom,public,29200
5,Agronom,public,29600
6,Agronom,public,30000
7,Agronom,public,30200
8,Agronom,public,30500
9,Agronom,public,30900
10,Agronom,public,31000
11,Agronom,public,31400
12,Agronom,public,31800
13,Agronom,public,32000
14,Agronom,public,32100
15,Agronom,public,32500
16,Agronom,public,32600
17,Agronom,public,33000
18,Agronom,public,33100
19,Agronom,public,33300
20,Agronom,public,33500
21,Agronom,public,33700
22,Agronom,public,33800
23,Agronom,public,34000
24,Agronom,public,34050
25,Agronom,public,34350
26,Agronom,public,34500
27,Agronom,public,34700
28,Agronom,public,35000
30,Agronom,public,35200
31,Agronom,public,35300
32,Agronom,public,35500
33,Agronom,public,35600
34,Agronom,public,35850
35,Agronom,public,36000
36,Agronom,public,36100
37,Agronom,public,36500
38,Agronom,public,36700
39,Agronom,public,36900
40,Agronom,public,37000
41,Agronom,public,37250
42,Agronom,public,37500
43,Agronom,public,37700
44,Agronom,public,38000
46,Agronom,public,38200
47,Agronom,public,38500
48,Agronom,public,38700
49,Agronom,public,38900
50,Agronom,public,39100
51,Agronom,public,39300
52,Agronom,public,39600
53,Agronom,public,39800
54,Agronom,public,40000
56,Agronom,public,40100
57,Agronom,public,40250
58,Agronom,public,40500
59,Agronom,public,40700
60,Agronom,public,41000
61,Agronom,public,41100
62,Agronom,public,41300
63,Agronom,public,41600
64,Agronom,public,42000
65,Agronom,public,42200
66,Agronom,public,42600
67,Agronom,public,42850
68,Agronom,public,43000
69,Agronom,public,43300
70,Agronom,public,43600
71,Agronom,public,43800
72,Agronom,public,44300
73,Agronom,public,44600
74,Agronom,public,45000
75,Agronom,public,45288
76,Agronom,public,45500
77,Agronom,public,45800
78,Agronom,public,46200
79,Agronom,public,46500
80,Agronom,public,47200
81,Agronom,public,47500
82,Agronom,public,47800
83,Agronom,public,48200
84,Agronom,public,48800
85,Agronom,public,49200
86,Agronom,public,49800
87,Agronom,public,50000
88,Agronom,public,50300
89,Agronom,public,51000
90,Agronom,public,51700
91,Agronom,public,53000
92,Agronom,public,54000
93,Agronom,public,56000
94,Agronom,public,57700
95,Agronom,public,58300
96,Agronom,public,61000
97,Agronom,public,63900
