percentile,profession,publicprivate,income
3,Arbetsterapeut,private,28000
4,Arbetsterapeut,private,28500
5,Arbetsterapeut,private,28800
6,Arbetsterapeut,private,29000
7,Arbetsterapeut,private,29100
8,Arbetsterapeut,private,29200
9,Arbetsterapeut,private,29500
10,Arbetsterapeut,private,29600
11,Arbetsterapeut,private,29779
12,Arbetsterapeut,private,30000
14,Arbetsterapeut,private,30100
15,Arbetsterapeut,private,30420
16,Arbetsterapeut,private,30600
17,Arbetsterapeut,private,30740
18,Arbetsterapeut,private,31000
21,Arbetsterapeut,private,31008
22,Arbetsterapeut,private,31200
23,Arbetsterapeut,private,31400
24,Arbetsterapeut,private,31500
25,Arbetsterapeut,private,31600
26,Arbetsterapeut,private,31700
27,Arbetsterapeut,private,31900
28,Arbetsterapeut,private,32000
31,Arbetsterapeut,private,32215
32,Arbetsterapeut,private,32400
33,Arbetsterapeut,private,32500
35,Arbetsterapeut,private,32600
36,Arbetsterapeut,private,32700
37,Arbetsterapeut,private,32800
38,Arbetsterapeut,private,32900
39,Arbetsterapeut,private,33000
42,Arbetsterapeut,private,33177
43,Arbetsterapeut,private,33200
44,Arbetsterapeut,private,33320
45,Arbetsterapeut,private,33450
46,Arbetsterapeut,private,33500
47,Arbetsterapeut,private,33600
48,Arbetsterapeut,private,33759
49,Arbetsterapeut,private,33904
50,Arbetsterapeut,private,34000
53,Arbetsterapeut,private,34100
54,Arbetsterapeut,private,34300
55,Arbetsterapeut,private,34500
57,Arbetsterapeut,private,34600
58,Arbetsterapeut,private,34700
59,Arbetsterapeut,private,34776
60,Arbetsterapeut,private,34945
61,Arbetsterapeut,private,35000
64,Arbetsterapeut,private,35023
65,Arbetsterapeut,private,35200
66,Arbetsterapeut,private,35408
67,Arbetsterapeut,private,35600
68,Arbetsterapeut,private,35700
69,Arbetsterapeut,private,35850
70,Arbetsterapeut,private,36000
73,Arbetsterapeut,private,36300
74,Arbetsterapeut,private,36500
75,Arbetsterapeut,private,36670
76,Arbetsterapeut,private,36800
77,Arbetsterapeut,private,37000
78,Arbetsterapeut,private,37200
79,Arbetsterapeut,private,37500
80,Arbetsterapeut,private,37866
81,Arbetsterapeut,private,38000
83,Arbetsterapeut,private,38200
84,Arbetsterapeut,private,38700
85,Arbetsterapeut,private,39000
86,Arbetsterapeut,private,39850
87,Arbetsterapeut,private,40000
88,Arbetsterapeut,private,40250
89,Arbetsterapeut,private,41000
90,Arbetsterapeut,private,41800
91,Arbetsterapeut,private,42000
92,Arbetsterapeut,private,42840
93,Arbetsterapeut,private,44000
94,Arbetsterapeut,private,45000
95,Arbetsterapeut,private,46000
96,Arbetsterapeut,private,47500
97,Arbetsterapeut,private,50000
