percentile,profession,publicprivate,income
3,arbetsterapeut,public,26100
4,arbetsterapeut,public,26500
5,arbetsterapeut,public,26800
6,arbetsterapeut,public,27000
7,arbetsterapeut,public,27200
8,arbetsterapeut,public,27500
9,arbetsterapeut,public,27646
10,arbetsterapeut,public,27850
11,arbetsterapeut,public,28000
12,arbetsterapeut,public,28150
13,arbetsterapeut,public,28300
14,arbetsterapeut,public,28500
15,arbetsterapeut,public,28600
16,arbetsterapeut,public,28800
17,arbetsterapeut,public,28900
18,arbetsterapeut,public,29000
19,arbetsterapeut,public,29100
20,arbetsterapeut,public,29300
21,arbetsterapeut,public,29400
22,arbetsterapeut,public,29500
23,arbetsterapeut,public,29600
24,arbetsterapeut,public,29700
25,arbetsterapeut,public,29850
26,arbetsterapeut,public,30000
28,arbetsterapeut,public,30050
29,arbetsterapeut,public,30150
30,arbetsterapeut,public,30275
31,arbetsterapeut,public,30400
32,arbetsterapeut,public,30500
34,arbetsterapeut,public,30600
35,arbetsterapeut,public,30700
36,arbetsterapeut,public,30800
37,arbetsterapeut,public,30900
38,arbetsterapeut,public,31000
40,arbetsterapeut,public,31100
41,arbetsterapeut,public,31200
42,arbetsterapeut,public,31300
43,arbetsterapeut,public,31450
44,arbetsterapeut,public,31500
45,arbetsterapeut,public,31600
46,arbetsterapeut,public,31700
47,arbetsterapeut,public,31800
48,arbetsterapeut,public,31900
49,arbetsterapeut,public,32000
51,arbetsterapeut,public,32100
52,arbetsterapeut,public,32200
53,arbetsterapeut,public,32300
54,arbetsterapeut,public,32400
55,arbetsterapeut,public,32500
56,arbetsterapeut,public,32575
57,arbetsterapeut,public,32651
58,arbetsterapeut,public,32750
59,arbetsterapeut,public,32850
60,arbetsterapeut,public,32950
61,arbetsterapeut,public,33000
62,arbetsterapeut,public,33050
63,arbetsterapeut,public,33125
64,arbetsterapeut,public,33265
65,arbetsterapeut,public,33360
66,arbetsterapeut,public,33500
67,arbetsterapeut,public,33510
68,arbetsterapeut,public,33600
69,arbetsterapeut,public,33725
70,arbetsterapeut,public,33850
71,arbetsterapeut,public,34000
73,arbetsterapeut,public,34140
74,arbetsterapeut,public,34300
75,arbetsterapeut,public,34424
76,arbetsterapeut,public,34500
77,arbetsterapeut,public,34700
78,arbetsterapeut,public,34800
79,arbetsterapeut,public,34950
80,arbetsterapeut,public,35000
81,arbetsterapeut,public,35200
82,arbetsterapeut,public,35400
83,arbetsterapeut,public,35500
84,arbetsterapeut,public,35700
85,arbetsterapeut,public,36000
86,arbetsterapeut,public,36125
87,arbetsterapeut,public,36500
88,arbetsterapeut,public,36795
89,arbetsterapeut,public,37100
90,arbetsterapeut,public,37600
91,arbetsterapeut,public,38100
92,arbetsterapeut,public,38700
93,arbetsterapeut,public,39680
94,arbetsterapeut,public,40800
95,arbetsterapeut,public,42000
96,arbetsterapeut,public,43260
97,arbetsterapeut,public,44900
