percentile,profession,publicprivate,income
3,Arkitekt,private,31200
4,Arkitekt,private,31600
5,Arkitekt,private,31700
6,Arkitekt,private,32000
7,Arkitekt,private,32200
8,Arkitekt,private,32500
9,Arkitekt,private,32700
10,Arkitekt,private,33000
12,Arkitekt,private,33400
13,Arkitekt,private,33500
14,Arkitekt,private,33800
15,Arkitekt,private,34000
17,Arkitekt,private,34500
18,Arkitekt,private,34600
19,Arkitekt,private,34950
20,Arkitekt,private,35000
22,Arkitekt,private,35300
23,Arkitekt,private,35500
24,Arkitekt,private,35800
25,Arkitekt,private,36000
26,Arkitekt,private,36100
27,Arkitekt,private,36400
28,Arkitekt,private,36500
29,Arkitekt,private,36853
30,Arkitekt,private,37000
31,Arkitekt,private,37200
32,Arkitekt,private,37500
33,Arkitekt,private,37800
34,Arkitekt,private,38000
35,Arkitekt,private,38200
36,Arkitekt,private,38500
37,Arkitekt,private,38800
38,Arkitekt,private,39000
39,Arkitekt,private,39127
40,Arkitekt,private,39500
41,Arkitekt,private,39800
42,Arkitekt,private,40000
44,Arkitekt,private,40427
45,Arkitekt,private,40600
46,Arkitekt,private,41000
48,Arkitekt,private,41400
49,Arkitekt,private,41700
50,Arkitekt,private,42000
51,Arkitekt,private,42200
52,Arkitekt,private,42500
53,Arkitekt,private,43000
55,Arkitekt,private,43200
56,Arkitekt,private,43500
57,Arkitekt,private,43800
58,Arkitekt,private,44000
59,Arkitekt,private,44286
60,Arkitekt,private,44500
61,Arkitekt,private,44950
62,Arkitekt,private,45000
63,Arkitekt,private,45200
64,Arkitekt,private,45600
65,Arkitekt,private,46000
66,Arkitekt,private,46100
67,Arkitekt,private,46500
68,Arkitekt,private,46700
69,Arkitekt,private,47000
70,Arkitekt,private,47200
71,Arkitekt,private,47500
72,Arkitekt,private,48000
73,Arkitekt,private,48300
74,Arkitekt,private,48500
75,Arkitekt,private,49000
76,Arkitekt,private,49300
77,Arkitekt,private,49700
78,Arkitekt,private,50000
79,Arkitekt,private,50100
80,Arkitekt,private,50600
81,Arkitekt,private,51000
82,Arkitekt,private,51600
83,Arkitekt,private,52000
84,Arkitekt,private,52800
85,Arkitekt,private,53100
86,Arkitekt,private,53894
87,Arkitekt,private,54296
88,Arkitekt,private,55000
89,Arkitekt,private,55286
90,Arkitekt,private,56000
91,Arkitekt,private,56700
92,Arkitekt,private,57500
93,Arkitekt,private,58500
94,Arkitekt,private,60000
95,Arkitekt,private,61500
96,Arkitekt,private,63827
97,Arkitekt,private,66300
